"Add New Address","Dodaj nov naslov"
"Add to Cart","Dodaj v košarico"
"Add to Compare","Dodaj v primerjavo"
"Add to Wishlist","Dodaj na spisek želja"
"Address","Naslov"
"Apply","Potrdi"
"Back","Nazaj"
"Billing Address","Naslov Plaèevanja"
"City","Mesto"
"Company","Podjetje"
"Confirm Password","Ponovi Geslo"
"Continue","Nadaljuj"
"Country","Država"
"Default Billing","Privzeto plaèilo"
"Default Shipping","Privzeto pošiljanje"
"Disabled","Izkljuèeno"
"Edit","Uredi"
"Email Address","Email Naslov"
"Enabled","Vkljuèeno"
"Grand Total:","Skupaj:"
"Login","Vpiši"
"Password","Geslo"
"Payment Method","Naèin plaèila"
"Price","Cena"
"Product","Artikl"
"Product Name","Ime Artikla"
"Products","Artikli"
"Qty","Kolièina"
"Quantity","Kolièina"
"Remove Item","Odstrani artikel"
"Shipping Address","Naslov dostave"
"Shipping Information","Informacije o pošiljanju"
"Shipping Method","Naèin dostave"
"Shipping Methods","Metode dostave"
"Shopping Cart","Nakupovalna košarica"
"State/Province","Provinca/Država"
"Store View","Pogled trgovine"
"Street Address","Naslov (ulica)"
"Submitting order information...","Pošiljam informacije o naroèilu..."
"Subtotal","Skupaj za plaèilo"
"Telephone","Telefon"
"Total","Skupaj"
"You have no items in your shopping cart.","VaÅ¡a koÅ¡arica je prazna"
