"--Please Select--","--Prosim izberi--"
"Credit Card Number","Številka kreditne kartice"
"Credit Card Number: xxxx-%s","Številka kreditne kartice: xxxx-%s"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Type: %s","Tip kreditne kartice: %s"
"Credit Card Types","Tipi kreditnih kartici"
"Currency","Valuta"
"Enabled","Vkljuèeno"
"Expiration Date","Konèni datum"
"Expiration Date: %s/%s","Konèni datum: %s/%s"
"Name on Card","Ime na kartici"
"Name on the Card: %s","Ime na kartici: %s"
"Password","Geslo"
"Payment Method","Naèin plaèila"
"Payment Methods","Naèini plaèila"
"Send Check to","Pošlji èek na"
"Send Check to:","Pošlji èek na:"
"Shipping Amount","Cena dostave"
"Start Date","Datum zaèetka"
"Tax Amount","Kolièina davka"
"What is this?","Kaj je to?"
