" Copy"," Kopiraj"
"Back","Nazaj"
"Cancelled","Preklicano"
"Convert to Plain Text","Spremeni v Navadni tekst"
"Customer","Kupec"
"Date Updated","Posodobljeno na datum"
"Delete","Izbriši"
"Delete Selected Problems","Izbriši oznaèene probleme"
"Edit Newsletter","Uredi novico"
"Error Code","Koda napake"
"Error Text","Besedilo napake"
"Guest","Gost"
"Newsletter","Novice"
"Newsletter Message Preview","Predogled sporoèila novice"
"Newsletter Problem Reports","Poroèilo problemov za Novice"
"Newsletter Subscribers","Prijavi na Novice"
"Not Sent","Ni poslano"
"Pause","Pavza"
"Paused","Pavzirano"
"Please select subscriber(s)","Prosim izberite naroènika(e)"
"Preview","Predogled"
"Processed","Procesirano"
"Recipients","Prejemniki"
"Reset","Resetiraj"
"Resume","Nadaljuj"
"Save As","Shrani kot"
"Save Newsletter","Shrani Novico"
"Sender","Pošiljatelj"
"Sender Email","Email Pošiljatelja"
"Sender Name","Ime Pošiljatelja"
"Sending","Pošiljam"
"Sent","Poslano"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Subscribe","Naroèi"
"Subscriber","Naroènik"
"Subscribers","Naroèniki"
"Subscribers From","Naroèniki Novic od"
"Subscription Options","Možnosti naroèil na novice"
"Type","Tip"
"Unsubscribe","Odnaroèi"
"View Newsletter","Pogled novice"
"Website","Spletna Stran"
