" [deleted]"," [verwijderd]"
"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer --"
"-- Please Select Billing Agreement--","-- Selecteer incasso-overeenkomst--"
"-- Please Select a Category --","-- Selecteer een categorie --"
"-- Please select --","-- Selecteer --"
"--Please Select--","--Maak een keuze--"
"1 Hour","1 uur"
"12 Hours","12 uur"
"12h AM/PM","12uur Ochtend/Avond"
"2 Hours","2 uur"
"24 Hours","24 uur"
"24h","24uur"
"6 Hours","6 uur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Pagina niet gevonden.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Let op</strong>: Captcha is hoofdletter gevoelig."
"A user with the same user name or email already exists.","Een gebruiker met deze gebruikersnaam of dit emailadres bestaat reeds."
"API Key","API-sleutel"
"Abandoned Carts","Achtergelaten winkelwagens"
"About the calendar","Over de kalender"
"Account Created in:","Account gemaakt in:"
"Account Information","Account Gegevens"
"Account Status","Accountinstellingen"
"Action","Actie"
"Actions","Acties"
"Active","Actief"
"Add","Toevoegen"
"Add New","Voeg nieuwe toe"
"Add New Block","Nieuw blok toevoegen"
"Add New Image","Nieuwe afbeelding toevoegen"
"Add New Role","Nieuwe rol toevoegen"
"Add New Template","Nieuw sjabloon toevoegen"
"Add New URL Rewrite","Voeg nieuwe URL Rewrite toe"
"Add New User","Nieuwe gebruiker toevoegen"
"Add New Variable","Voeg nieuwe variabele toe"
"Add Products","Voeg producten toe"
"Add URL Rewrite","URL Rewrite toevoegen"
"Add URL Rewrite for a Category","Voeg URL Rewrite toe voor categorie"
"Add URL Rewrite for a Product","Voeg URL Rewrite toe voor product"
"Add after","Toevoegen na"
"Additional Cache Management","Extra cacheopties"
"Admin","Beheerder"
"All","Alle"
"All Allowed Countries","Alle toegestane landen"
"All Cache","Gehele cache"
"All Files","Alle bestanden"
"All Reviews","Alle reviews"
"All Store Views","Alle Winkelaanzichten"
"All Websites","Alle Websites"
"All countries","Alle landen"
"All valid rates have been saved.","Alle beoordelingen zijn opgeslagen."
"Always (during development)","Altijd (tijdens ontwikkeling)"
"Amounts","Bedragen"
