" for more information or "," voor meer informatie of "
"# of Items (and above)","# artikelen (en hierboven)"
"# of Items vs. Destination","# artikelen versus bestemming"
"Allow Shipping to Multiple Addresses","Verzending naar meer adressen toestaan"
"Calculate Handling Fee","Verzendkosten berekenen"
"Carrier:","Vervoerder:"
"City","Plaatsnaam"
"Close Window","sluit venster"
"Condition","conditie"
"Country","Land"
"Custom Value","Speciale waarde"
"Date","Datum"
"Delivered on:","Afgeleverd op:"
"Description","Beschrijving"
"Displayed Error Message","Weergeven foutbericht"
"Enabled","Ingeschakeld"
"Error:","Fout:"
"Fixed","Vast"
"Flat Rate","Vast tarief"
"Free Shipping","Gratis verzending"
"Handling Fee","Verwerkingskosten"
"Include Virtual Products in Price Calculation","Virtuele Producten eveneens mee laten tellen bij berekening"
"Info:","Informatie:"
"Local Time","Lokale tijd"
"Location","Plaats"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximaal aantal voor verzending naar meer adressen"
"Method Name","Naam van methode"
"Minimum Order Amount","Minimum bestelbedrag"
"N/A","n.v.t."
"None","Geen"
"Options","Opties"
"Order Subtotal (and above)","Subtotaal bestelling (en hierboven)"
"Origin","Herkomst"
"Per Order","Per bestelling"
"Per Package","Per pakket"
"Percent","Percentage"
"Price","prijs"
"Price vs. Destination","Prijs versus bestemming"
"Region/State","Provincie"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Shipment #","Verzendnummer "
"Shipping Methods","Verzendmethoden"
"Shipping Settings","Verzendinstellingen"
"Shipping Settings Section","Verzendinstellingen sectie"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Sort Order","Sorteervolgorde"
"Status:","Status"
"Store Pickup","Afhalen"
"Street Address","Adres"
"Street Address Line 2","Adres"
"Table Rates","Tarieven prijstabel"
"The shipping module is not available.","Deze verzendmethode is niet beschikbaar"
"There is no tracking available for this shipment.","Er is geen tracking beschikbaar voor deze verzending."
"There is no tracking available.","Er is geen tracking beschikbaar."
"Title","Titel"
"Track:","Tracking:"
"Tracking Information","Track en Trace informatie"
"Tracking Number:","Trackingnummer:"
"Tracking information is currently not available. Please ","Tracking-informatie is momenteel niet beschikbaar. Gelieve te gebruiken "
"Type","Soort"
"Weight (and above)","Gewicht (en daarboven)"
"Weight vs. Destination","Gewicht versus bestemming"
"ZIP/Postal Code","Postcode"
"contact us","neem contact op"
