"Actions","Acties"
"Active","Actief"
"Add New Rule","Voeg nieuwe regel toe"
"Alphabetical","Alfabetisch"
"Alphanumeric","Alfanumeriek"
"Apply","Toepassen"
"Apply To","Pas Toe Op"
"Apply to Shipping Amount","Pas toe op afleverkosten"
"Are you sure you want to delete the selected coupon(s)?","Weet u zeker dat u dez geselecteerde coupons wilt verwijderen?"
"Auto","Automatisch"
"Auto Generated Specific Coupon Codes","Automatisch gegenereerde coupon codes."
"Buy X get Y free (discount amount is Y)","Koop X-aantal en krijg Y-aantal gratis (vul bij 'Kortingsbedrag' het Y-aantal in)"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"Can't acquire coupon.","Kan coupon niet ophalen."
"Cart Attribute","Winkelwagen-attribuut"
"Catalog","Catalogus"
"Code Format","Formaat code"
"Code Length","Lengte code"
"Code Prefix","Code voorvoegsel"
"Code Suffix","Code achtervoegsel"
"Conditions","Voorwaarden"
"Conditions combination","Combinatie van voorwaarden"
"Coupon","Tegoedbon"
"Coupon Code","Tegoedbon code"
"Coupon Qty","Coupon aantal"
"Coupon with the same code","Coupons met de zelfde code"
"Created On","Aangemaakt Op"
"Customer Groups","Klantengroepen"
"Dash Every X Characters","Streepje elke x karakters"
"Default Label","Standaard Label"
"Default Rule Label for All Store Views","Standaard label voor alle winkelaanzichten"
"Description","Beschrijving"
"Discount Amount","Korting"
"Discount Qty Step (Buy X)","Koop X-aantal (aantal dat klant moet kopen voordat hij Y-aantal gratis krijgt)"
"Edit Rule","Bewerk regel"
"Excluding prefix, suffix and separators.","Behalve voorvoegsel, achtervoegsel en tussenvoegsels."
"FOUND","GEVONDEN"
"Fixed amount discount","Vast kortingsbedrag"
"Fixed amount discount for whole cart","Vast kortingsbedrag voor hele winkelwagen"
"For matching items only","Alleen voor betreffende artikelen"
"For shipment with matching items","Voor een zending met betreffende artikelen"
"Free Shipping","Gratis verzending"
"General Information","Algemene informatie"
"Generate","Genereren"
"If empty no separation.","Laat leeg voor geen streepjes"
"Inactive","Inactief"
"Maximum Qty Discount is Applied To","Maximaal aantal waarop korting is toegepast (per product)"
"NOT FOUND","NIET GEVONDEN"
"NOT LOGGED IN","NIET INGELOGD"
"New Rule","Nieuwe regel"
"No","Nee"
"No Coupon","Geen kortingscode"
"Number of Uses","Aantal keer gebruikt"
"Numeric","Numeriek"
"Payment Method","Betaalmethode"
"Percent of product price discount","Korting (percentage van productprijs)"
"Period","Periode"
"Price in cart","Prijs in winkelwagen"
"Priority","Prioriteit"
"Product attribute combination","Combinatie van productattributen"
"Products subselection","Subselectie producten"
"Promotions","Promoties"
"Public In RSS Feed","Publiceren in RSS-feed"
"Quantity in cart","Aantal in winkelwagen"
"Row total in cart","Rij-totaal in winkelwagen"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Rule is not defined","Regel is niet gedefinieerd"
"Save and Continue Edit","Toepassen"
"Shipping Country","Land afleveradres"
"Shipping Method","Bezorgmethode"
"Shipping Postcode","Postcode afleveradres"
"Shipping Region","Regio afleveradres"
"Shipping State/Province","Provincie afleveradres"
"Special Price","Speciale prijs"
"Specific Coupon","Specifieke kortingscode"
"Status","status"
"Store View Specific Labels","Winkelaanzicht specifieke labels"
"Subtotal","Subtotaal"
"This rule no longer exists.","Deze regel bestaat niet langer."
"Times Used","Aantal keer gebruikt"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"Total","Totaal"
"Total Amount","Totaal Bedrag"
"Total Items Quantity","Totale aantal artikelen"
"Total Weight","Totaalgewicht"
"Update the Product","Het product bijwerken"
"Use Auto Generation","Gebruik auto-aanmaken"
"Used","Gerbuikt"
"Uses per Coupon","Totale aantal beschikbaar"
"Uses per Customer","Aantal per klant beschikbaar"
"Yes","Ja"
"total amount","totaalbedrag"
"total quantity","totale hoeveelheid"
