"* Required Fields","* Verplichte velden"
"ALL GROUPS","ALLE GROEPEN"
"Account Information","Account Gegevens"
"Account Sharing Options","Opties account delen"
"Action","Actie"
"Add New Address","Adres toevoegen"
"Add New Customer","Nieuwe klant toevoegen"
"Add New Customer Group","Nieuwe klantgroep toevoegen"
"Additional Address Entries","Additionele Adresgegevens"
"Address","Adres"
"Address Book","Adresboek"
"Address Information","Adres Gegevens"
"Address Templates","Adres sjablonen"
"Addresses","Adressen"
"Admin","Beheerder"
"All","Alle"
"All Store Views","Alle Winkelaanzichten"
"All countries","Alle landen"
"Always optional.","Altijd optioneel"
"Amount","Aantal"
"Approved","Akkoord"
"Are you sure you want to delete this address?","Weet u zeker dat u het adres wilt verwijderen?"
"Are you sure?","Weet je het zeker?"
"Assign a Customer Group","Klantgroep toewijzen"
"Average Sale","Gemiddeld bedrag"
"Back","Terug"
"Bad request.","Foute aanvraag"
"By Email","Per E-mail"
"By IP","Via IP"
"By IP and Email","Via IP en Email"
"Cancel","Annuleer"
"Change Billing Address","Verander Factuuradres"
"Change Password","Wachtwoord wijzigen"
"Change Shipping Address","Verzendadres wijzigen"
"City","Plaatsnaam"
"Company","Bedrijf"
"Configure","Configureren"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm Password","Bevestig wachtwoord"
"Confirmation Link Email","Bevestinglink e-mail"
"Confirmed","Bevestigd"
"Contact Information","Contactgegevens"
"Continue Shopping","Ga verder met winkelen"
"Country","Land"
"Create","Creëren"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Create Order","Bestelling aanmaken"
"Create an Account","Account aanmaken"
"Current Password","Huidig wachtwoord"
"Customer","Klant"
"Customer Configuration","Klant-configuratie"
"Customer Group","Klantengroep"
"Customer Groups","Klantengroepen"
"Customer Information","Klantgegevens"
"Customer Since","Klant Sinds"
"Customer View","Overzicht"
"Customer will stay on the current page if ""No"" is selected.","Klant zal op de huidige pagina blijven als Nee is geselecteerd."
"Customers","Klanten"
"Date","Datum"
"Date Added","Datum toegevoegd"
"Date of Birth","Geboortedatum"
"Day","Dag"
"Default Addresses","Standaard adres"
"Default Billing Address","Standaard factuuradres"
"Default Email Domain","Standaard e-maildomein"
"Default Group","Standaardgroep"
"Default Shipping Address","Standaard verzendadres"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standaard-waarde voor 'Uitschakelen automatische verandering van groep a.h.v. BTW-nummer.'"
"Default Welcome Email","Standaard welkomst-mail"
"Delete","Verwijder"
"Delete Customer","Klant verwijderen"
"Delete Customer Group","Klantgroep verwijderen"
"Deleted Stores","Verwijderde winkels"
"Details","Gegevens"
"Disabled","Uitgeschakeld"
"Edit","Bewerken"
"Edit Account Information","Bewerk accountgegevens"
"Edit Address","Bewerk adres"
"Edit Customer Groups","Klantgroepen bewerken"
"Edit Group","Groep bewerken"
"Email","E-mail"
"Email Address","E-mail adres"
"Email Sender","Afzender E-mail"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Inschakelen automatische verandering van groep a.h.v. BTW-nummer."
"First Name","Voornaam"
"Forgot Email Template","Sjabloon e-mail vergeten"
"Forgot Password","Wachtwoord vergeten"
"Forgot Your Password?","Wachtwoord vergeten?"
"Gender","Geslacht"
"General Subscription","Algemene inschrijving"
"Generate Human-Friendly Customer ID","Genereer klantvriendelijk klant-ID"
"Global","Systeem"
"Group","Groep"
"Group Information","Groepsgegevens"
"Group Name","Groepsnaam"
"Group for Invalid VAT ID","Groep voor ongeldig BTW-nummer"
