"Actions","Acties"
"Are you sure?","Weet je het zeker?"
"Date Added","Datum toegevoegd"
"Last Update","Laatste wijziging"
"Mark as Read","Markeren als gelezen"
"Message","Bericht"
"Messages Inbox","Berichteninbox"
"Notifications","Meldingen"
"Please select messages.","Gelieve de berichten te selecteren."
"Read Details","Lees details"
"Remove","Verwijder"
"Severity","Ernst"
"Show List","Toon lijst"
"Show Toolbar","Werkbalk weergeven"
"The message has been removed.","Het bericht is verwijderd."
"Update Frequency","Update de frequentie"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"Wrong message type","Verkeerd berichttype"
"critical","kritiek"
"major","belangrijk"
"minor","gering"
"notice","melding"
