"Add New Rating","Nieuwe waardering toevoegen"
"Assigned Options","Toegewezen opties"
"Be the first to review this product","Schrijf de eerste review over dit product"
"Default Value","Standaardwaarde"
"Delete Rating","Verwijder waardering"
"New Rating","Nieuwe waardering"
"Option Title","Titel optie"
"Option Title:","Titel optie:"
"Rating Information","Informatie waardering"
"Rating Title","Titel waarding"
"Rating Visibility","Zichtbaarheid scores"
"Rating isn't Available","Waardering is niet beschikbaar"
"Save Rating","Waardering opslaan"
"Sort Order","Sorteervolgorde"
