" Copy"," Kopiëer"
"Action","Actie"
"Add New Template","Nieuw sjabloon toevoegen"
"Add to Queue","Aan wachtrij toevoegen"
"Allow Guest Subscription","Inschrijven voor gasten toestaan"
"Are you sure that you want to strip all tags?","Weet u zeker dat u alle tags wilt ontkoppelen?"
"Back","Terug"
"Cancel","Annuleer"
"Cancelled","Geannuleerd"
"Confirmation Email Sender","Afzender Bevestiging E-mail"
"Confirmation Email Template","Bevestiging e-mail sjabloon"
"Convert to Plain Text","Omzetten naar platte tekst"
"Create Newsletter Template","Nieuwsbrief-sjabloon aanmaken"
"Customer","Klant"
"Customer First Name","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Date Added","Datum toegevoegd"
"Delete","Verwijder"
"Delete Selected Problems","Geselecteerde problemen verwijderen"
"Delete Template","Sjabloon verwijderen"
"Do you really want to cancel the queue?","Weet u zeker dat u deze wachtrrij wilt annuleren?"
"Edit Newsletter","Nieuwsbrief bewerken"
"Edit Newsletter Template","Nieuwsbrief-sjabloon bewerken"
"Edit Queue","Wachtrij bewerken"
"Edit Template","Template bewerken"
"Email","E-mail"
"Enter your email address","Voer uw e-mailadres in"
"Error Code","Foutcode"
"Error Text","Fouttekst"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Klik op deze link om u uit te schrijven <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Bezoeker"
"Message","Bericht"
"Need to Confirm","Moet bevestigen"
"New Newsletter Template","Nieuwe nieuwsbrief-sjabloon"
"New Template","Nieuw sjabloon"
"Newsletter","Nieuwsbrief"
"Newsletter Message Preview","Preview nieuwsbrief-bericht"
"Newsletter Problem Reports","Nieuwsbrief probleemrapporten"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Section","Nieuwsbrief sectie"
"Newsletter Styles","Nieuwsbrief Stijl"
"Newsletter Subscribers","Nieuwsbriefabonnees"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Newsletter Subscriptions","Nieuwsbrieven"
"Newsletter Templates","Nieuwsbrief Sjablonen"
"Newsletter subscription confirmation","Nieuwsbrief abonnementbevestiging"
"Newsletter subscription success","Nieuwsbrief inschrijving gelukt"
"Newsletter unsubscription success","Nieuwsbrief uitschrijving gelukt"
"No Templates Found","Geen sjablonen gevonden"
"Not Activated","Niet geactiveerd"
"Not Sent","Niet verstuurd"
"Pause","Pauzeren"
"Paused","Gepauzeerd"
"Please enter a valid email address.","Vul een geldig e-mailadres in."
"Preview","Voorbeeld"
"Preview Template","Voorbeeld Sjabloon"
"Processed","Verwerkt"
"Queue Date Start","Wachtrij startdatum"
"Queue Information","Wachtrijgegevens"
"Queue Start","Wachtrij start"
"Queue Subject","Wachtrij onderwerp"
"Recipients","Geadresseerden"
"Reset","Resetten"
"Resume","Doorgaan"
"Return HTML Version","Geef HTML-versie terug"
"Save As","Opslaan als"
"Save Newsletter","Nieuwsbrief opslaan"
"Save Template","Sjabloon Opslaan"
"Save and Resume","Opslaan en doorgaan"
"Security","Beveiliging"
"Sender","Afzender"
"Sender Email","E-mailadres Afzender"
"Sender Name","Naam afzender"
"Sending","Bezig met verzenden"
"Sent","Verstuurd"
"Sign Up for Our Newsletter:","Abonneer u op onze nieuwsbrief"
"Status","status"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Subject","Onderwerp"
"Submit","Bevestig"
"Subscribe","Inschrijven"
"Subscribed","Geabonneerd"
"Subscriber","Abonnee"
"Subscribers","Abonnees"
"Subscribers From","Abonnees van"
"Subscription Options","Abonnementopties"
"Success Email Sender","Afzender Succes E-mail"
"Success Email Template","Succes e-mail sjabloon"
"Template Content","Template inhoud"
"Template Information","Template informatie"
"Template Name","Template naam"
"Template Styles","Template Stijl"
"Template Subject","Template onderwerp"
"Template Type","Template soort"
"Thank you for your subscription.","Bedankt voor uw inschrijving."
"This email address is already assigned to another user.","Dit E-Mailadres is al toegewezen aan een andere gebruiker."
"Type","Soort"
"Unconfirmed","Onbevestigd"
"Unsubscribe","Uitschrijven"
"Unsubscribe Selected","Uitschrijven geselecteerd"
"Unsubscribed","Uitgeschreven"
"Unsubscription Email Sender","Afzender Uitschrijving E-mail"
"Unsubscription Email Template","Template e-mail uitschrijving"
"View Newsletter","Nieuwsbrief bekijken"
"Your subscription has been confirmed.","Uw inschrijving is bevestigd."
