"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"5 minutes","5 minutes"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (tâches programmées) - tous les temps sont en minutes"
"Daily","Quotidiennement"
"Failure History Lifetime","Durée de vie de l'historique des échecs"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pour que les urls générées pendant les tâches programmées soient correctes, assurez-vous d'avoir renseigné correctement les urls de base sécurisée et non sécurisée"
"Generate Schedules Every","Générer les tâches programmées toutes les"
"History Cleanup Every","Nettoyer l'historique toutes les"
"Hourly","Toutes les heures"
"Invalid callback: %s::%s does not exist","Appel non valide : %s::%s n'existe pas"
"Invalid model/method definition, expecting ""model/class::method"".","Définition de modèle/méthode non valide, ""model/class::method"" attendu."
"Minute Intervals","Intervalle en minutes"
"Missed if Not Run Within","Manqué si non exécuté dans les"
"Monthly","Mensuellement"
"No callbacks found","Aucun appel trouvé"
"Schedule Ahead for","Programmer en avance de"
"Success History Lifetime","Durée de vie de l'historique des succès"
"Unable to delete the cron task.","Impossible d'effacer la tâche cron."
"Weekly","Hebdomadairement"
