"(Excl. Tax)","(HT)"
"(Incl. Tax)","(TTC)"
"* Required Fields","* Champs obligatoires"
"Add New Address","Ajouter une adresse"
"Add New Condition","Ajouter une nouvelle condition"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'achats"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> sur %s"
"After Adding a Product Redirect to Shopping Cart","Rediriger vers le panier après l'ajout d'un produit"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Already registered?","Vous avez déjà un compte?"
"An error occurred in the process of payment","Une erreur est survenue dans le process de paiement"
"Apply","Appliquer"
"Apply Coupon","Appliquer bon de réduction"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous sûr(e) de vouloir enlever cet article de votre panier ?"
"Back","Retour"
"Back to Billing Information","Retour aux informations de facturation"
"Back to Select Addresses","Retour à la sélection d'adresses"
"Back to Shipping Information","Retour aux informations de livraison"
"Back to Shopping Cart","Retour au panier"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, les articles suivants pourraient vous intéresser :"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Cancel","Annuler"
"Cancel Coupon","Annuler le bon de réduction"
"Cannot process the item.","Impossible de traiter l'élément."
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Cart Subtotal:","Sous-total du panier :"
"Change","Modifier"
"Change Billing Address","Modifier l'adresse de facturation"
"Checkbox Text","Texte de la case à cocher"
"Checkout","Commander"
"Checkout Conditions","Conditions de commande"
"Checkout Options","Options de règlement"
"Checkout Section","Section règlement"
"Checkout Terms and Conditions","Conditions générales de ventes de passage de commande"
"Checkout as Guest","Régler en tant qu'invité"
"Checkout as a Guest or Register","Régler en tant qu'invité ou s'enregistrer"
"Checkout with Multiple Addresses","Livrer à plusieurs adresses"
"City","Ville"
"Clear Shopping Cart","Vider le panier"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target='_blank'"">ici pour imprimer</a> une copie de la confirmation de votre commande."
"Close","Fermer"
"Company","Société"
"Condition Name","Nom de la condition"
"Configurable Product Image","Image de produit configurable"
"Confirm Password","Confirmer le mot de passe"
"Content","Contenu"
"Content Height","Hauteur du contenu"
"Content Height (css)","Hauteur du contenu (CSS)"
"Continue","Continuer"
"Continue Shopping","Continuez vos achats"
"Continue to Billing Information","Poursuivre vers les informations de facturation"
"Continue to Review Your Order","Poursuivre pour vérifier votre commande"
"Continue to Shipping Information","Poursuivre vers les informations de livraison"
"Country","Pays"
"Coupon code ""%s"" is not valid.","Le code de réduction ""%s"" n'est pas valide."
"Create Billing Address","Créer une adresse de facturation"
"Create Shipping Address","Créer une adresse de livraison"
"Customer Address is not valid.","L'adresse du client n'est pas valide."
"Customer Information","Informations client"
"Data saving problem","Problème lors de la sauvegarde des données"
"Default Billing","Facturation par défaut"
"Default Shipping","Livraison par défaut"
"Delete Condition","Supprimer la condition"
"Details","Détails"
"Disabled","Désactivé"
"Discount Codes","Codes de remises"
"Display Cart Summary","Afficher le résumé du panier"
"Display Shopping Cart Sidebar","Afficher la barre latérale du panier"
"Display item quantities","Afficher la quantité d'articles"
"Display number of items in cart","Afficher le nombre d'articles dans le panier"
"Easy access to your order history and status","Consultez et suivez vos commandes"
"Edit","Éditer"
"Edit Address","Éditer l'adresse"
"Edit Billing Address","Éditer l'adresse de facturation"
"Edit Condition","Éditer la condition"
"Edit Items","Modifier les articles"
"Edit Shipping Address","Éditer l'adresse de livraison"
"Edit Terms and Conditions","Éditer les conditions générales de ventes"
"Edit Your Cart","Modifiez votre panier"
"Edit item","Éditer l'article"
"Edit item parameters","Éditer les paramètres de l'article"
"Email Address","Adresse email"
"Enable Onepage Checkout","Activer le passage de commande en une seule page"
"Enable Terms and Conditions","Activer les conditions générales de vente"
"Enabled","Activé"
"Enter a New Address","Saisir une nouvelle adresse"
