"%s's Wishlist","Liste d'envies de %s"
"* Required Fields","* Champs obligatoires"
"Add All to Cart","Tout ajouter au panier"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'achats"
"Added From","Ajouté depuis"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr de vouloir enlever ce produit de votre liste d'envies ?"
"Are you sure you would like to remove this item from the wishlist?","Êtes-vous sûr de vouloir enlever cet article de votre liste d'envies ?"
"Back","Retour"
"Can't save description %s","Impossible de sauvegarder la description %s"
"Cannot specify product.","Impossible de spécifier le produit"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste d'envies"
"Click for price","Cliquez pour afficher le prix"
"Comment","Commentaire"
"Comment:","Commentaire :"
"Date Added","Date d'ajout"
"Days in Wishlist","Jours dans la liste d'envies"
"Edit","Éditer"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Email address can't be empty.","L'email est obligatoire"
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Enabled","Activé"
"General Options","Options générales"
"Go to Wishlist","Aller à la liste d'envies"
"In stock","En stock"
"Last Added Items","Derniers articles ajoutés"
"My Wishlist","Ma liste d'envies"
"My Wishlist (%d item)","Ma liste d'envies (%d article)"
"My Wishlist (%d items)","Ma liste d'envies (%d articles)"
"Options Details","Détails des options"
"Out of stock","Épuisé"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Saisissez une liste d'adresses email valides, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please, enter your comments...","Saisissez vos commentaires..."
"Price","Prix"
"Product","Produit"
"Product Details and Comment","Détails du produit et commentaire"
"Qty","Qté"
"RSS Feed","Flux RSS"
"RSS link to %s's wishlist","Flux RSS de la liste d'envies de %s"
"Remove Item","Supprimer l'article"
"Remove This Item","Retirer cet élément"
"Remove item","Retirer l'article"
"SKU","REF"
"Share Options","Options de partage"
"Share Wishlist","Partager la liste d'envies"
"Share Your Wishlist","Partagez votre liste d'envies"
"Sharing Information","Information de partage"
"Update Wishlist","Mettre à jour"
"User Description","Description utilisateur"
"View Details","Voir les détails"
"View Product","Voir produit"
"What's this?","Qu'est-ce que c'est ?"
"Wishlist","Liste d'achats"
"Wishlist Section","Section liste d'envies"
"Wishlist Sharing","Partage de liste d'envies"
"Wishlist is empty now.","La liste d'envies est vide maintenant."
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste d'envies."
