" [deleted]"," [effacé]"
" and ","et"
"(For US 2-letter state names)","(Pour les US, 2 lettres du nom de l'état)"
"(If left empty will be auto-generated)","(Généré automatiquement si non renseigné)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour dans ce magasin si la colonne 'store' est vide ou manquante dans le fichier d'import)"
"(Shift-)Click or drag to change value","Pour modifier la valeur, cliquez en maintenant la touche shift enfoncée ou glissez"
"(Starting with)","(Commençant par)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Si 'Non', seuls les champs mappés seront importés. Lorsque vous utilisez le mapping, utilisez 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Vous devez augmenter la mémoire allouée à PHP avant de modifier cette valeur)"
"(\t for tab)","(t pour une tabulation)"
"* Required Fields","* Champs obligatoires"
"- Click on any of the time parts to increase it","- Cliquez sur n'importe quelle partie de l'heure pour l'augmenter"
"- Hold mouse button on any of the above buttons for faster selection.","- Maintenez le bouton de la souris sur n'importe quel bouton ci-dessus pour une sélection rapide"
"- Use the %s buttons to select month","- Utilisez les boutons %s pour sélectionner le mois"
"- Use the %s, %s buttons to select year","- Utilisez les boutons %s, %s pour sélectionner l'année"
"- or Shift-click to decrease it","- ou cliquez en maintenant la touche shift enfoncée pour l'augmenter"
"- or click and drag for faster selection.","- ou cliquez et glissez pour une sélection plus rapide"
"-- Not Selected --","-- Non sélectionné --"
"-- Please Select --","-- Faites un choix --"
"-- Please Select Billing Agreement--","-- Veuillez choisir l'entente de facturation--"
"-- Please Select a Category --","-- Choisissez une catégorie --"
"-- Please select --","-- Votre choix --"
"--Please Select--","--Sélectionnez s'il vous plaît--"
"1 Hour","1 heure"
"12 Hours","12 heures"
"2 Hours","2 heures"
"24 Hours","24 heures"
"2YTD","Depuis le début de l'année dernière"
"6 Hours","6 heures"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erreur 404</h1><p>Page introuvable.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Attention</strong> : le captcha est sensible à la casse."
"A user with the same user name or email already exists.","Un utilisateur avec le même nom d’utilisateur ou e-mail existe déjà."
"API Key","Clé API"
"Abandoned Carts","Paniers abandonnés"
"About the calendar","À propos du calendrier"
"Account Created in:","Compte créé dans :"
"Account Created on (%s):","Compte créé le (%s) :"
"Account Created on:","Compte créé le :"
"Account Information","Informations du compte"
"Account Status","Statut du compte"
"Account status","Statut du compte"
"Actions","Action"
"Actions XML","XML d'actions"
"Active","Actif"
"Add","Ajouter"
"Add Exception","Ajouter une exception"
"Add Field Mapping","Ajouter un mapping de champs"
"Add Field with URL:","Ajouter le champ avec l'URL :"
"Add New","Ajouter"
"Add New Block","Ajouter un nouveau bloc"
"Add New Image","Nouvelle image"
"Add New Profile","Nouveau profil"
"Add New Role","Ajouter un nouveau rôle"
"Add New Template","Ajouter un nouveau template"
"Add New URL Rewrite","Nouvelle réécriture d'URL"
"Add New User","Ajouter un nouvel utilisateur"
"Add New Variable","Nouvelle variable"
"Add Products","Ajouter des produits"
"Add URL Rewrite","Ajouter une réécriture d'URL"
"Add URL Rewrite for a Category","Ajoutez une réécriture d'URL pour une catégorie"
"Add URL Rewrite for a Product","Ajoutez une réécriture d'URL pour un produit"
"Add after","Ajoutez après"
"Additional Cache Management","Gestion étendue du cache"
"Address Type:","Type d'adresse :"
"Admin","Administration"
"Advanced Admin Section","Section avancée d'administration"
"Advanced Profiles","Profils avancés"
"Advanced Section","Section avancée"
"All","Tous"
