"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s Item(s)","%s article(s)"
"(Copy data from: %s)","(Copier les données depuis : %s)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Faites un choix --"
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom."
"A name is required","Un nom est requis"
"A product type is not defined for the indexer.","Aucun type de produit n'est défini pour l'indexer."
"ALL GROUPS","TOUS LES GROUPES"
"Actual Price","Prix ​​actuel"
"Add","Ajouter"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add New","Ajouter"
"Add New Attribute","Ajouter un attribut"
"Add New Attribute Set","Ajouter un nouveau jeu d'attributs"
"Add New Group","Ajouter un nouveau groupe"
"Add New Images","Ajouter de nouvelles images"
"Add New Option","Ajouter une option"
"Add New Row","Ajouter une ligne"
"Add New Search Term","Ajouter nouveau terme de recherche"
"Add New Set","Ajouter un nouveau groupe"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un niveau"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'achats"
"Additional Information","Informations complémentaires"
"All","Tous"
"All Product Types","Tous les types de produits"
"All Websites","Tous les sites web"
"All products","Tous les produits"
"All products - recently added products, New products - products marked as new","Tous les produits - produits ajoutés récemment, nouveaux produits - produits configurés comme nouveaux"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tous les produits de ce jeu seront supprimés ! Êtes-vous sûr de vouloir supprimer ce jeu d'attributs ?"
"Allow All Products per Page","Autoriser tous les produits par page"
"Allowed File Extensions","Extensions de fichier autorisées"
"Allowed file extensions to upload","Extensions de fichier autorisées pour l'envoi"
"Amount","Montant"
"Anchor Custom Text","Présenter un texte personnalisé"
"Anchor Custom Title","Présenter un titre personnalisé"
"Apply To","S'applique à"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Êtes-vous sûr(e) de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove all products from your comparison?","Êtes-vous sûr de vouloir enlever tous les produits de la comparaison ?"
"Are you sure you would like to remove this item from the compare products?","Êtes-vous sûr de vouloir enlever cet article de la comparaison ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"As low as:","Prix spécial :"
"Assign","Assigner"
"Assign product link","Assigner un lien de produit"
"Assign product to category","Assigner un produit à une catégorie"
"Assigned Products","Produits assignés"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom du groupe d'attributs"
"Attribute Information","Informations attributs"
"Attribute Model","Modèle d'attribut"
"Attribute Name:","Nom de l'attribut :"
"Attribute Set","Jeu d'attributs"
"Attribute Sets","Jeux d'attributs"
"Attribute group with the ""/name/"" name already exists","Il existe déjà un groupe d'attributs portant le nom ""/name/"""
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Attrribute names can be specified per store.","Les noms d'attributs peuvent être spécifiés pour chaque magasin."
"Autogenerate","Générer automatiquement"
"Availability:","Disponibilité :"
"Back","Retour"
"Backend Model","Modèle pour le back office"
"Backend Table","Table de back office"
"Backend Table Title","Titre de table de back office"
"Backorders","Commande en rupture de stock"
"Based On","Basé sur"
"Before Order Confirmation","Avant la confirmation de commande"
"Best Value","Meilleure affaire"
"Block after Info Column","Bloc après la colonne d'information"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Browse By","Filtrer par"
"Bundle Items","Kit d'articles"
"Buy %1$s for %2$s","Achetez-en %1$s pour %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Achetez-en %1$s à %2$s (%3$s TTC) pièce"
"Buy %1$s for %2$s each","Achetez-en %1$s à %2$s pièce"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type liste déroulante"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Can't create image.","Impossible de créer l'image"
"Cancel","Annuler"
"Cart Item Attribute","Attribut d'article panier"
"Catalog","Catalogue"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"Catalog Price Scope","Portée des prix catalogue"
"Catalog Product Link","Lien produit catalogue"
"Catalog Section","Section catalogue"
"Catalog, Search","Catalogue, Recherche"
"Categories","Catégories"
"Categories Sitemap","Plan de site des catégories"
"Category","Catégorie"
"Category API","API de catégorie"
"Category Data","Données de catégorie"
"Category Flat Data","Données fixes de catégorie"
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit inline de lien catégorie"
"Category Products","Produits de la catégorie"
"Category Top Navigation","Navigation dans les catégories"
"Category URL Suffix","Suffixe d'URL des catégories"
"Category attributes API","API d'attributs de catégories"
"Category move error","Erreur de déplacement de catégorie"
"Center","Centrer"
"Change","Modifier"
"Change or Retrieve attribute store view","Changer ou récupérer la vue magasin de l'attribut"
"Change status","Changer un statut"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"Choose an Option...","Choisissez une option..."
"Clear All","Tout supprimer"
"Clear Price","Effacer le prix"
"Click for price","Cliquez pour afficher le prix"
"Close Window","Fermer la fenêtre"
"Collapse All","Tout réduire"
"Comma-separated.","Séparées par des virgules."
"Comparable on Front-end","Comparable sur le front-office"
"Compare","Comparer"
"Compare Products","Comparer des produits"
"Conditions Combination","Combinaison de conditions"
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres produit configurable"
"Configure Product","Configurer le produit"
"Continue","Continuer"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Pays / État"
"Create","Créer"
"Create (Upload)","Créer (télécharger)"
"Create Empty","Créer vide"
"Create Permanent Redirect for URLs if URL Key Changed","Créer une redirection permanente pour les URLs si la clé d'URL change"
"Create Permanent Redirect for old URL","Créer des redirections permanentes pour les anciennes URLs."
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Create new category","Créer une catégorie"
"Create new product","Créer un produit"
"Cross-sells","Ventes croisées"
"Custom Design","Design personnalisé"
"Custom Options","Options personnalisables"
"Customer Group","Groupe de clients"
"Customers Reviews","Avis des clients"
"Customers Tagged Product","Clients ayant taggé ce produit"
"Data Type for Saving in Database","Type de données pour sauvegarder dans la base de données"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Date Fields Order","Ordre des champs de date"
"Date Subscribed","Date d'abonnement"
"Datetime","Date et heure"
"Decimal","Décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Default ""What's This"" Text Message","Texte par défaut du message ""Qu’est-ce que c'est"""
"Default Popup Text Message","Texte du message de popup par défaut"
"Default Price","Prix par défaut"
"Default Price Navigation Step","Tranche de prix par défaut"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le groupe d'attribut"
"Delete Category","Supprimer cette catégorie"
"Delete Option","Supprimer cette option"
"Delete Row","Supprimer la ligne"
"Delete Search","Supprimer la recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete Tier","Effacer le palier"
"Delete category","Supprimer la catégorie"
"Delete product","Supprimer le produit"
"Depends on design theme","Dépendant du thème d'habillage"
"Details","Détails"
"Disabled","Désactivé"
"Disallowed file type.","Type de fichier interdit."
"Display Actual Price","Afficher les vrais prix"
"Display Page Control","Contrôle de l'affichage de la page"
"Display Price Interval as One Price","Afficher l’intervalle de prix en un seul prix"
"Display Product Count","Afficher le nombre de produits"
"Display Type","Type d'affichage"
"Display in Suggested Terms","Afficher dans les termes suggérés"
