"-- Please Select --","--Seleccione--"
"Add Secret Key to URLs","Añadir clave secreta a direcciones URL"
"Add Store Code to Urls","Añadir el código de tienda a las direcciones Url"
"Admin","Administrar"
"Admin Base URL","URL base de administración"
"Admin User Emails","Correos electrónicos del usuario administrador"
"Advanced","Opciones avanzadas"
"Allow Countries","Países permitidos"
"Allow Symlinks","Permitir enlaces simbólicos"
"Allowed IPs (comma separated)","IP permitidas (separadas por comas)"
"Anchor Text for Next","Texto de ancla para página siguiente"
"Anchor Text for Previous","Texto de ancla para página anterior"
"Are you sure?","¿Seguro que quiere continuar?"
"Auto-redirect to Base URL","Redireccionar automáticamente a la dirección URL base"
"Back","Atrás"
"Backup Options","Opciones de copia de seguridad"
"Base Link URL","URL base de enlaces"
"Base URL","URL base"
"Browser Capabilities Detection","Detectar las capacidades del navegador"
"CSS Settings","Configuración CSS"
"Cache Storage Management","Administración de almacenamiento de caché"
"Cancel","Cancelar"
"Card type does not match credit card number.","El tipo de tarjeta no coincide con el número de tarjeta de crédito."
"Code","Código"
"Cookie Domain","Dominio de la cookie"
"Cookie Lifetime","Tiempo de Vida de la Cookie"
"Cookie Path","Ruta de las cookies"
"Cookie Restriction Mode","Modo restrictivo de la cookie"
"Copyright","Derechos de autor"
"Country","País"
"Create Store","Crear Tienda"
"Create Store View","Crear Vista de Tienda"
"Create Website","Crear sitio web"
"Credit card number does not match credit card type.","Número de la tarjeta de crédito no corresponde al tipo de la tarjeta."
"Custom Admin Path","Ruta del administrador personalizada"
"Custom Admin URL","URL de administración personalizada"
"Custom Design","Diseño Personalizado"
"Custom Email 1","Correo electrónico personalizado 1"
"Custom Email 2","Correo electrónico personalizado 2"
"Custom Variables","Variables personalizadas"
"Customer Support","Soporte al cliente"
"Dashboard","Panel"
"Date From","Fecha desde"
"Date To","Hasta la fecha"
"Debug","Depurar"
"Default","Predeterminado"
"Default Country","País por defecto"
"Default No-route URL","URL de No-ruta por Defecto"
"Default Pages","Páginas por defecto"
"Default Robots","Robots (predeterminado)"
"Default Store","Almacén predeterminado"
"Default Store View","Vista de Tienda Predeterminada"
"Default Title","Título Predeterminado"
"Default Web URL","URL de web por defecto"
"Delete","Borrar"
"Delete Store","Borrar tienda"
"Delete Store View","Eliminar Vista de Tienda"
"Design","Diseño"
"Design Change","Cambio de diseño"
"Developer","Desarrollador"
"Developer Client Restrictions","Desarrolo Restricciones del cliente"
"Disable Email Communications","Desactivar las comunicaciones por correo electrónico"
"Disable Modules Output","Deshabilitar salida de módulos"
"Display Demo Store Notice","Mostrar noticia ""tienda de demonstración"""
"Duplicate Of Template Name","Duplicado del nombre de plantilla"
"Edit Design Change","Editar cambio de diseño"
"Edit Store","Editar tienda"
"Edit Store View","Editar Vista de Tienda"
"Enable Charts","Habilitar Gráficas"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para el Administrador"
"Environment Update Time","Intervalo de actualización del entorno"
"European Union Countries","Países de la Unión Europea"
"Favicon Icon","Icono de favoritos"
"File not found","Archivo no encontrado"
"File system","Sistema de archivos"
"File with an extension ""%value%"" is protected and cannot be uploaded","El archivo con extensión ""%value%"" está protegido y no se puede subir"
"First Day of Week","Primer día de la semana"
"Flush Cache Storage","Vaciar almacenamiento de caché"
"Flush Magento Cache","Vaciar la caché de Magento"
"Footer","Pie de página"
"Forgot Password Email Template","Plantilla de Email de Contraseña olvidada"
"General Contact","Contacto general"
"General Settings","Configuración General"
"Global","General"
"HTML Head","Encabezado HTML"
"Header","Encabezado"
"Host","Servidor"
"How many links to display at once.","Cuántos enlaces mostrar a la vez."
"Incorrect credit card expiration date.","Fecha de caducidad de la tarjeta de crédito incorrecta."
"Input type ""%value%"" not found in the input types list.","El tipo de entrada ""%value%"" no se encuentra en la lista de tipos de entrada."
"Invalid date","Fecha no válida"
"JavaScript Settings","Configuración de JavaScript"
"Layout","Diseño"
"Leave empty for access from any location.","Dejar en blanco para acceder desde cualquier lugar."
"Locale","Configuración regional"
"Locale Options","Opciones de configuración regional"
"Login is Case Sensitive","Se distinguen mayúsculas al iniciar sesión"
"Logo Image","Logo imagen"
"Logo Image Alt","Texto alternativo al logotipo"
"Mail Sending Settings","Configuración del Envío de Correo"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Asegúrese de que la dirección URL base termina con '/' (barra diagonal), ejem: http://yourdomain/magento/"
"Manage Stores","Gestionar tiendas"
"Media Storage","Almacenamiento de medios"
"Merge CSS Files","Combinar archivos CSS"
"Merge JavaScript Files","Combinar archivos de JavaScript"
"Miscellaneous HTML","Diverso HTML"
"Name","Nombre"
"New Store","Nueva tienda"
"New Store View","Nueva vista de tienda"
"No","No 	"
"Offloader header","Liberador de carga de cabecera"
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP"
"Package","Paquete"
"Pagination","Paginación"
"Pagination Frame","Marco de la paginación"
"Pagination Frame Skip","Saltar Marco Paginación"
"Path ""%value%"" is not available and cannot be used.","La ruta ""%value%"" no está disponible y no puede usarse."
"Path ""%value%"" is protected and cannot be used.","La ruta ""%value%"" está protegida y no se puede utilizar."
"Please enter a number 0 or greater in this field.","Por favor, introduzca 0 o un número mayor en este campo."
"Please enter a number 1 or greater in this field.","Por favor, introduzca número 1 o mayor en este campo."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, introduzca una cantidad válida en $. Por ejemplo: $100.00."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
