"Actions","Acciones"
"Active","Activo"
"Add New Rule","Añadir nueva regla"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Apply","Aplicar"
"Apply To","Aplicar a"
"Apply to Shipping Amount","Aplíquese a la cantidad de envío"
"Are you sure you want to delete the selected coupon(s)?","¿Está seguro de que quiere eliminar el cupón/los cupones seleccionado(s)?"
"Auto Generated Specific Coupon Codes","Códigos de cupones específicos generados automáticamente"
"Buy X get Y free (discount amount is Y)","Compre X y llévese Y gratis (la cantidad descontada es Y)"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Can't acquire coupon.","No se puede adquirir el cupón."
"Cart Attribute","Atributos del carrito"
"Catalog","Catálogo"
"Code Format","Código de formato"
"Code Length","Código de longitud"
"Code Prefix","Código de prefijo"
"Code Suffix","Código de sufijo"
"Conditions","Condiciones"
"Conditions combination","Combinación de condiciones"
"Coupon","Cupón"
"Coupon Code","Código de cupón"
"Coupon Qty","Código de cantidad"
"Coupon with the same code","Cupón con el mismo código"
"Coupons Information","Información sobre cupones"
"Created On","Creado"
"Customer Groups","Grupos de cliente"
"Dash Every X Characters","Guión cada ""X"" caracteres"
"Default Label","Etiqueta (predeterminada)"
"Default Rule Label for All Store Views","Etiqueta normativa para todas las vistas de tienda (predeterminada)"
"Description","Descripción"
"Discount Amount","Monto de descuento"
"Discount Qty Step (Buy X)","Paso de cantidad descontada (comprar X)"
"Edit Rule","Editar regla"
"Excluding prefix, suffix and separators.","Excluyendo prefijos, sufijos y separaciones"
"FOUND","ENCONTRADO"
"Fixed amount discount","Monto fijo de descuento"
"Fixed amount discount for whole cart","Descuento de cantidad fija para el carro completo"
"For matching items only","Sólo para artículos correspondientes"
"For shipment with matching items","Para envíos con artículos correspondientes"
"Free Shipping","Transporte gratuito"
"General Information","Información general"
"Generate","Generar"
"ID","Número de Identificación (ID)"
"If empty no separation.","Si está vacío no hay separación."
"If you select and save the rule you will be able to generate multiple coupon codes.","Si seleccionas y guardas la regla podrás generar múltiples códigos de cupón."
"Inactive","Inactivo"
"Labels","Etiquetas"
"Maximum Qty Discount is Applied To","Se aplica la máxima cantidad descontada"
"NOT FOUND","NO ENCONTRADO"
"NOT LOGGED IN","NO CONECTADO"
"New Rule","Nueva regla"
"No","No 	"
"No Coupon","Sin cupón"
"Number of Uses","Número de usos"
"Numeric","Numérico"
"Payment Method","Método de pago"
"Percent of product price discount","Porcentaje de descuento en el precio del artículo"
"Period","Período"
"Price in cart","Precio del carro"
"Priority","Prioridad"
"Product attribute combination","Combinación de atributos de artículo"
"Products subselection","Subselección de artículos"
"Promotions","Promociones"
"Public In RSS Feed","Publicar feed RSS"
"Quantity in cart","Cantidad en el carrito"
"Row total in cart","Total de filas en el carrito"
"Rule Information","Información sobre la regla"
"Rule Name","Nombre de la regla"
"Rule is not defined","Regla no definida"
"Save and Continue Edit","Guardar y continuar editando"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal"
"Shipping Region","Región de envío"
"Shipping State/Province","Estado/Provincia para el despacho"
"Special Price","Precio especial"
"Specific Coupon","Cupón específico"
"Status","Estatus"
"Store View Specific Labels","Etiquetas específicas de la vista de tienda"
"This rule no longer exists.","Esta regla ya no existe."
"Times Used","Tiempos utilizados"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Total","Totals"
"Total Amount","Cantidad total"
"Total Items Quantity","Cantidad total de artículos"
"Total Weight","Peso total"
"Update the Product","Actualizar el artículo"
"Use Auto Generation","Utilizar generación automática"
"Used","Utilizado"
"Uses per Coupon","Usos por cupón"
"Uses per Customer","Usos por cliente"
"Website","Página web"
"Websites","Sitios web"
"Wrong rule specified.","Regla especificada incorrecta."
"Yes","Sí"
"total amount","Cantidad total"
"total quantity","Suma total"
