"* Required Fields","* Campos obligatorios"
"-- Please Select --","--Seleccione--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please select --","-- Por favor, seleccione --"
"--Please Select--","--Por favor seleccione--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> error 404</h1><p>Página no encontrada.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Atención</strong>: Captcha es sensible al uso de mayúsculas y minúsculas."
"A user with the same user name or email already exists.","Ya existe un usuario con el mismo nombre de usuario o correo electrónico."
"API Key","Clave API"
"Abandoned Carts","Carritos abandonados"
"About the calendar","Acerca del calendario"
"Account Created in:","Cuenta creada en:"
"Account Information","Información de la cuenta"
"Account Status","Estado de cuenta"
"Action","Acción"
"Actions","Acciones"
"Active","Activo"
"Add","Agregar"
"Add New","Añadir nuevo"
"Add New Block","Añadir Nuevo Bloque"
"Add New Image","Añadir nueva imagen"
"Add New Role","Añadir Nuevo Cargo"
"Add New Template","Añadir Nueva Plantilla"
"Add New URL Rewrite","Añadir nueva reescritura URL"
"Add New User","Añadir nuevo usuario"
"Add New Variable","Agregar nueva variable"
"Add Products","Añadir productos"
"Add URL Rewrite","Añadir Reescritura URL"
"Add URL Rewrite for a Category","Añadir la reescritura de URL para una categoría"
"Add URL Rewrite for a Product","Añadir reescritura URL para un producto"
"Add after","Hinzufügen nach"
"Additional Cache Management","Gestión de memoria caché adicional"
"Admin","Administrar"
"Advanced Admin Section","Sección Avanzada de Admin"
"Advanced Section","Sección avanzada"
"All","Todos"
"All Allowed Countries","Todos los países permitidos"
"All Cache","Toda la Cache"
"All Files","Todos los archivos"
"All Reviews","Todas las reseñas"
"All Store Views","Todas las vistas de la tienda"
"All Websites","Todos sitios web"
"All countries","Todos los países"
"All valid rates have been saved.","Alle gültigen Kurse wurden gespeichert."
"Always (during development)","Siempre (durante el desarrollo)"
"Amounts","Cantidades"
"An error occurred while clearing the JavaScript/CSS cache.","Error al borrar la memoria caché de JavaScript/CSS."
"An error occurred while clearing the image cache.","Error al borrar la caché de imagen."
"An error occurred while deleting this role.","Ocurrió un error al eliminar esta función."
"An error occurred while saving account.","Ocurrió un error al guardar la cuenta."
"An error occurred while saving this role.","Error al guardar esta funcion."
"Any","Cualquiera"
"Are you sure you want to do this?","¿Está seguro de que quiere hacer esto?"
"Assigned","Asignado"
"Attributes","Atributos"
"Authorize","Autorizar"
"Automatic (equalize price ranges)","Automático (igualar los rangos de precios)"
"Automatic (equalize product counts)","Automatisch (Wertangleichung Artikelzählung)"
"Back","Atrás"
"Backup","Copia de seguridad"
"Backup Name","Nombre de la copia de seguridad"
"Backup options","Opciones de backup"
"Backups","Copias de seguridad"
"Base currency","Moneda base"
"Bcc","CCO"
"Bestsellers","Mejor vendidos"
"Billing Address","Dirección de facturación"
"Billing Address: ","Dirección de facturación: "
"Billing Agreement","Acuerdo de pago"
"Billing Agreements","Acuerdos de pago"
"Block Information","Bloque información"
"Blocks","Bloques"
"Both (without and with tax)","Ambos (con y sin impuestos)"
"Browse Files...","Examinar Archivos..."
"By Email","Por correo electrónico"
"By IP","Por IP"
"By IP and Email","Por IP y correo electrónico"
"Cache Control","Control de caché"
"Cache Management","Gestión de caché"
"Cache Type","Tipo de memoria caché"
"Cancel","Cancelar"
"Cannot add new comment.","No se puede agregar un nuevo comentario."
"Cannot add tracking number.","No se puede agregar el número de seguimiento."
"Cannot do shipment for the order separately from invoice.","No se puede realizar envíos para el pedido independientemente de la factura."
"Cannot do shipment for the order.","No se puede hacer el envío para el pedido."
"Cannot save shipment.","No se puede guardar el envío."
"Cannot send shipment information.","No puede mandar la información del envío."
"Cannot update item quantity.","No se puede actualizar la cantidad de artículos."
"Card Verification Number","Número de verificación de tarjeta"
"Catalog","Catálogo"
"Catalog Price Rules","Catálogo Normas sobre precios"
"Catalog Rewrites","Reescribir el catálogo"
"Categories","Categorías"
"Category","Categoría"
"Category:","Categoría:"
"Checkbox","Casilla de verificación"
"Child Transactions","Transacciones hijas"
"Choose Store View:","Ladenansicht wählen:"
"Clear","Limpiar"
"Close","Cerrar"
"Code","Código"
"Complete","Completo"
"Config form fieldset clone model required to be able to clone fields","Config Felder-Formular als Klon-Modell erforderlich, um Felder klonen zu können"
"Configuration","Configuración"
"Confirm New Password","Confirmar contraseña nueva"
"Confirmed email:","Email confirmado:"
"Continue","Continuar"
"Convert to Plain Text","Convertir a texto sin formato"
"Cookie (unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupons","Cupones"
"Create","Crear"
"Create DB Backup","Crear copia de seguridad de la BD"
"Create New Attribute","Crear nuevo atributo"
"Created At","Creado en"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Memo History","Historial de facturas rectificadas"
"Credit Memo Totals","Totales de factura rectificada"
"Credit Memos","Facturas rectificativas"
"Currency","Moneda"
"Currency Setup Section","Sección de configuración de moneda"
"Current Configuration Scope:","Alcance actual de configuración:"
"Current Month","Mes actual"
"Custom","Personalizado"
"Custom Variables","Variables personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo de cliente:"
"Customer Groups","Grupos de cliente"
"Customer Name","Cliente nombre"
"Customer Reviews","Reseñas de cliente"
"Customer Shopping Carts","Carros de compras del cliente"
"Customer Tax Classes","Clases de impuestos del cliente"
"Customers","Clientes"
"Customers by Number of Orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Dashboard","Panel"
"Database","Base de datos"
"Date","Fecha"
"Date & Time","Fecha y hora"
"Date Added","Fecha de Creación"
"Date selector","Selector de fecha"
"Day","Día"
"Default Billing Address","Dirección de facturación por defecto"
"Default Config","Configuración por defecto"
"Default Values","Valores (predeterminado)"
"Default scope","Ámbito predeterminado"
"Delete","Borrar"
"Delete Block","Eliminar bloque"
"Delete File","Eliminar archivo"
"Delete Image","Eliminar imagen"
"Delete Role","Eliminar Función"
"Delete Store","Borrar tienda"
"Delete Store View","Eliminar Vista de Tienda"
"Delete Template","Eliminar plantilla"
"Delete User","Eliminar usuario"
"Description","Descripción"
"Design","Diseño"
"Design Section","Sección de diseño"
"Details","Detalles"
"Developer Section","Sección del Desarrollador"
"Disable","Desactivar"
"Disabled","Deshabilitada"
"Display default currency","Mostrar moneda por defecto"
"Download","Descarga"
"Downloads","Descargas"
"Drop-down","Menú desplegable"
"Edit","Editar"
"Edit Block","Editar bloque"
"Edit Design Change","Editar cambio de diseño"
"Edit Email Template","Editar plantilla de correo electrónico"
"Edit Order","Editar pedido"
"Edit Queue","Editar la cola de tareas"
"Edit Review","Editar Comentarios"
"Edit Role","Editar Rol"
"Edit Store View","Editar Vista de Tienda"
"Edit System Template","Editar plantilla de sistema"
"Edit Template","Editar la plantilla"
"Edit URL Rewrite","Editar Reescritura URL"
"Edit User","Editar usuario"
"Email","Correo electrónico"
"Email Address:","Correo electrónico:"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email:","Correo electrónico:"
"Enable","Activado"
"Enabled","Habilitado"
"Entity Attributes","Atributos de la entidad"
"Entity Type","Tipo de datos"
"Entity type:","Tipo de entidad:"
"Excl. Tax","Impuestos NO Incl."
"Exclude media folder from backup","Excluir la carpeta de los archivos multimedia de la copia de seguridad"
"Expiration Date","Fecha de vencimiento"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export to:","Exportar a:"
"FTP Host","FTP Server"
"FTP Host[:Port]","FTP Server[:Port]"
"FTP Login","Inicio de sesión de FTP"
"FTP Password","Contraseña de FTP"
"FTP credentials","Credenciales FTP"
"Failed","Falló"
"File","Archivo"
"File System","Sistema de archivos"
"First Invoice Created Date","Fecha de Creación de la primera factura"
"First Name","Nombre"
"First Name:","Nombre:"
"Fixed","Fijo"
"Flush Catalog Images Cache","Vaciar memoria cache de imágenes del catalogo"
"Flush JavaScript/CSS Cache","Borrar Memoria Cache de JavaScript/CSS"
"Forgot your password?","¿Olvidó su contraseña?"
"From","Desde"
"General Information","Información general"
"General Section","Sección General"
"Global Search","Búsqueda global"
"Go Today","Hoy"
"Go to Top","Ir a la parte superior"
"Grand Total","Total general"
"Grid (default) / List","Tabelle (Standard)/Liste"
"Grid Only","Cuadrícula sólo"
"Guest","Visitante"
"HTTP (unsecure)","HTTP (no seguro)"
"Home","Inicio"
"ID","Número de Identificación (ID)"
"IP Address","Dirección IP"
"IPN (Instant Payment Notification) Only","Nur IPN (Sofortzahlungsbenachrichtigung)"
"Images (.gif, .jpg, .png)","Imágenes (.gif, .jpg, .png)"
"Images Cache","Caché de imágenes"
"Import","Importar"
"Import Service","Importdienst"
"Import and Export Tax Rates","Importación y exportación de impuestos"
"Import/Export","Importar/Exportar"
"Important: ","Wichtig: "
"Inactive","Inactivo"
"Incl. Tax","Impuestos incl."
"Incoming Message","Mensaje entrante"
"Insert Variable...","Insertar Variable..."
"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"Invalid data","Fecha inválida"
"Invalid parent block for this block","Ungültiger Elternblock für diesen Block."
"Invalidated","Invalidado"
"Inventory Stock Status","Estado de inventario"
"Invoice History","Historial de la factura"
"Invoice Totals","Totales de factura"
"Invoices","Facturas"
"Is Closed","Está cerrado"
"Is Default","Es por defecto"
"Issue Number","Número de emisión"
"Items","Artículos"
"JavaScript seems to be disabled in your browser.","Parece que JavaScript está deshabilitado en su navegador."
"JavaScript/CSS Cache","Caché de JavaScript/CSS"
"Last 24 Hours","Últimas 24 horas"
"Last 7 Days","Últimos 7 días"
"Last Credit Memo Created Date","Fecha de creación ultima nota de crédito"
"Last Invoice Created Date","Fecha de Creación ultima factura"
"Last Logged In:","Último inicio de sesión:"
"Last Name","Apellidos"
"Last Name:","Apellidos:"
"Lifetime Sales","Ventas acumuladas"
"Links","Enlaces"
"List (default) / Grid","Liste (Standard)/Tabelle"
"List Only","Lista sólo"
"Load Template","Cargar plantilla"
"Loading...","Cargando..."
"Local Server","Servidor local"
"Locale","Configuración regional"
"Login","Entrar"
"Low Stock","Existencia baja"
"Magento root directory","Directorio de raíz de Magento"
"Manage Attribute Sets","Gestionar conjuntos de atributos"
"Manage Categories","Gestionar categorías"
"Manage Currency Rates","Gestión de tipos de cambio"
"Manage Customers","Gestionar clientes"
"Manage Ratings","Administrar puntuaciones"
"Manage Stores","Gestionar tiendas"
"Manage Tax Rules","Gestión de las normas fiscales"
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)"
"Manual","Manuell"
"Maximum sender name length is 255. Please correct your settings.","Longitud máxima del nombre de remitente es 255. Corrija la configuración."
"Media (.avi, .flv, .swf)","Multimedia(.avi, .flv, .swf)"
"Messages Inbox","Bandeja de entrada"
"Month","Mes"
"Most Viewed","Más vistos"
"Most Viewed Products","Productos más vistos"
"Multiple Select","Selección múltiple"
"My Account","Mi Cuenta"
"N/A","N/D"
"Name","Nombre"
"Never (production)","Nunca (producción)"
"New ","Nuevo "
"New Accounts","Clientes con nuevas cuentas"
"New Attribute","Nuevo atributo"
"New Block","Nuevo bloque"
"New Category","Nueva categoría"
"New Condition","Nueva condición"
"New Custom Variable","Nueva variable personalizada"
"New Customer","Nuevo cliente"
"New Customers","Nuevos clientes"
"New Email Template","Nueva plantilla de correo electrónico"
"New Group","Nuevo grupo"
"New Invoice","Nueva factura"
"New Memo","Nuevo memorándum"
"New Page","Nueva Página"
"New Password","Nueva Contraseña"
"New Rating","Nueva puntuación"
"New Review","Nueva revisión"
"New Role","Nueva función"
"New Rule","Nueva regla"
"New Search","Nueva búsqueda"
"New Set","Nuevo conjunto"
"New Shipment","Nuevo pedido"
"New Sitemap","Nuevo mapa del sitio web"
"New Store View","Nueva vista de tienda"
"New System Template","Nueva plantilla de sistema"
"New Template","Nueva plantilla"
"New User","Nuevo usuario"
"Newsletter","Boletín de noticias"
"Newsletter Queue","Cola del boletín informativo"
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter Templates","Plantillas del boletín informativo"
"No","No 	"
"No (price without tax)","No (precio sin IVA)"
"No Data","Keine Daten"
"No Data Found","No se encontraron datos"
"No Templates Found","No se encontraron plantillas"
"No change","Sin cambios"
"No records found.","No se han encontrado registros."
"No search modules were registered","No se registraron módulos de búsqueda"
"None","Ninguno"
"Note:","Nota:"
"Notifications","Notificaciones"
"Number of Orders","Número de pedidos"
"Number of Uses","Número de usos"
"OK","Aceptar"
"Old rate:","Alter Kurs:"
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr erweitertes PayPal-Konto eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Nachdem Sie in Ihr Konto PayPal Payflow Link eingeloggt sind, navigieren Sie zum Menü Service-Einstellungen - gehostete Checkout-Seiten  - Set Up-Menü und legen Sie die unten beschriebenen Optionen an"
"Online Customers","Clientes en línea"
"Only Once (version upgrade)","Solamente una vez (actualización de versión)"
"Optional","Opcional"
"Options","Opciones"
"Order","Encargar"
"Order ID","Pedido ID"
"Order Totals","Total del pedido"
"Orders","Pedidos"
"Out of stock","No está disponible"
"Pages","Páginas"
"Parent Product Thumbnail","Miniatura del Producto Padre"
"Parent Transaction ID","ID de transacción principal"
"Password","Contraseña"
"Password Confirmation","Confirmación de la contraseña"
"Password:","Contraseña:"
"Pending Reviews","Reseñas pendientes"
"Per Item","Pro Artikel"
"Per Order","Por pedido"
"Percent","Porcentaje"
"Period","Período"
"Permanent (301)","(301) Permanente"
"Permissions","Permisos"
"Personal Information","Información Personal"
"Please Select","Bitte auswählen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirmar cambio de sitio. Se perderán todos los datos que no ha sido guardados."
"Please enter a number greater than 0 in this field.","Por favor, introduzca un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, introduzca una cantidad válida en $. Por ejemplo: $100.00."
"Please enter a valid credit card number.","Por favor, introduzca un número de tarjeta de crédito válido."
"Please enter a valid date.","Por favor introduce una fecha correcta."
"Please enter a valid email.","Por favor ingrese un email válido."
"Please enter a valid number in this field.","Por favor, introduzca un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, introduzca un número de teléfono válido. Por ejemplo (123) 456-7890 ó 123-456-7890."
"Please enter a valid value from list","Por favor ingrese un valor válido de la lista"
"Please enter a valid value, ex: 10,20,30","Por favor ingrese un valor válido, ej: 10,20,30"
"Please enter a valid zip code.","Por favor, introduzca un código postal (C. P.) válido."
"Please make sure that all global admin search modules are installed and activated.","Por favor asegúrese de que todos los módulos de búsqueda global del administrador estén instalados y activados."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select State/Province.","Selecciona un estado/provincia."
"Please select an option.","Por favor selecciona una opción."
"Please select customer(s).","Bitte wählen Sie entsprechende Kunden aus."
"Please select one of the options.","Selecciona una de las opciones."
"Please select review(s).","Por favor, seleccione revisión(es)."
"Please specify the admin custom URL.","Bitte geben Sie die individuelle Admin-URL an."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Utilice sólo letras (-a-z o A-z), números (0-9) o espacios en este campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato para fechas: dd/mm/aaaa. Por ejemplo, 17/03/2006 para el 17 de marzo de 2006."
"Please wait...","Por favor, espere..."
"Position","Posición"
