"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
"* Required Fields","* Campos obligatorios"
"Address","Dirección"
"Address Information","Información de dirección"
"Back","Volver"
"City","Ciudad"
"Close","Cerrar"
"Company","Empresa"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crear una cuenta"
"Email Address","Dirección de email"
"Enable ""Remember Me""","Activar ""Recordarme"""
"Enable Persistence","Activar persistencia"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Forgot your password?","¿Olvidó su contraseña?"
"General Options","Opciones generales"
"Login","Entrar"
"New Customers","Nuevos clientes"
"Password","Contraseña"
"Persist Shopping Cart","Hacer persistente la cesta de la compra"
"Persistence Lifetime (seconds)","Duración de la persistencia (segundos)"
"Persistent Shopping Cart","Carrito de compras persistente"
"Personal Information","Información Personal"
"Please select region, state or province","Por favor seleccione región, estado o provincia"
"Registered Customers","Clientes registrados"
"Remember Me","Recordarme"
"Save in address book","Guardar en libreta de direcciones"
"Sign Up for Newsletter","Suscribirse al boletín"
"State/Province","Estado/provincia"
"Street Address","Dirección"
"Submit","Enviar"
"VAT Number","Número de IVA"
"What's this?","¿Qué es esto?"
"Zip/Postal Code","Código postal"
