"* Required Fields","* Campos obligatorios"
"-- Please Select --","--Seleccione--"
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"A product type is not defined for the indexer.","No hay un tipo de artículo definido para el motor de indexación."
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","a la mañana"
"Action","Acción"
"Actual Price","Precio real"
"Add","Agregar"
"Add Attribute","Añadir atributo"
"Add Design Change","Añadir cambio de diseño"
"Add Group","Añadir grupo"
"Add New","Añadir nuevo"
"Add New Attribute","Añadir nuevo atributo"
"Add New Attribute Set","Nuevo conjunto de atributos"
"Add New Group","Nuevo grupo"
"Add New Images","Agregar nuevas imágenes"
"Add New Option","Añadir nueva opción"
"Add New Row","Agregar nueva fila"
"Add New Search Term","Añadir nuevo término de búsqueda"
"Add Product","Añadir producto"
"Add Product To Websites","Añadir artículo a sitios web"
"Add Root Category","Añadir categoría raíz"
"Add Subcategory","Añadir subcategoría"
"Add Tax","Añadir impuestos"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"All","Todos"
"All Product Types","Todos los tipos de artículos"
"All Websites","Todos sitios web"
"All products","Todos los artículos"
"All products - recently added products, New products - products marked as new","Todos los artículos - artículos añadidos recientemente, Nuevos artículos - artículos marcados como nuevos"
"Allow All Products per Page","Permitir todos los artículos por página"
"Amount","Importe"
"Anchor Custom Text","Ancla Texto personalizado"
"Anchor Custom Title","Anclar título personalizado"
"Apply To","Aplicar a"
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Está seguro de que desea eliminar esta categoría?"
"Are you sure?","¿Seguro que quiere continuar?"
"Assign","Asignar"
"Associated Products","Artículos asociados"
"Attribute Information","Información de atributo"
"Attribute Model","Modelo de atributo"
"Attribute Set","Conjunto de atributos"
"Attribute Sets","Conjunto de atributos"
"Attributes","Atributos"
"Availability:","Disponibilidad:"
"Back","Atrás"
"Backend Model","Administración del sitio modelo"
"Backorders","Pedidos pendientes"
"Based On","Basado en"
"Before Order Confirmation","Antes de la confirmación del pedido"
"Block after Info Column","Bloque después de columna de información"
"Bottom/Left","Inferior/izquierda"
"Bottom/Right","Inferior/derecha"
"Bundle Items","Elementos en paquete"
"Cache Lifetime (Seconds)","Duración de caché (segundos)"
"Cancel","Cancelar"
"Cart Item Attribute","Atributo de artículo del carrito de compras"
"Catalog","Catálogo"
"Catalog Category Link","Enlace a la categoría de catálogo"
"Catalog New Products List","Lista de nuevos artículos del catálogo"
"Catalog Price Scope","Alcance del precio del catálogo"
"Catalog Product Link","Enlace al catálgo de artículos"
"Catalog Section","Sección de Catálogo"
"Catalog, Search","Catálogo, Búsqueda"
"Categories","Categorías"
"Category","Categoría"
"Category Flat Data","Datos planos de categoría"
"Category Link Block Template","Modelo del bloque de enlaces de categorías"
"Category Link Inline Template","Modelo de enlaces en línea a categorías"
"Category Products","Artículos de la categoría"
"Category Top Navigation","Categoría de navegación superior"
"Category URL Suffix","Sufijo URL de categoría"
"Center","Centro"
"Change","Cambio"
"Change status","Cambiar estado"
"Check items to add to the cart or","Comprueba los artículos para añadir a la cesta o"
"Choose an Option...","Elegir una opción..."
"Clear All","Eliminar todo"
"Clear Price","Borrar precio"
"Click for price","Haga click para ver precio"
"Close Window","Cerrar ventana"
"Collapse All","Contraer todo"
"Comma-separated.","Separados por coma."
"Compare","Comparar"
"Compare Products","Comparar productos"
"Conditions Combination","Combinación de condiciones"
"Configure Product","Configurar artículo"
"Continue","Continuar"
"Country/State","País/Estado federado"
"Create","Crear"
"Create Permanent Redirect for URLs if URL Key Changed","Crear redirección permanente para las URL si cambia la clave de URL"
"Create Permanent Redirect for old URL","Crear redirección permanente para URL antigua"
"Cross-sells","Ventas cruzadas"
