"* Required Fields","* Campos obligatorios"
"Comment","Comentario"
"Contact Form","Formulario de contacto"
"Contact Information","Información del contacto"
"Contact Us","Contáctenos"
"Contacts","Contactos"
"Contacts Section","Sección de contacto"
"Email","Correo electrónico"
"Email Options","Opciones de correo electrónico"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Enable Contact Us","Habilitar contacte con nosotros"
"Name","Nombre"
"Send Emails To","Enviar correos electrónicos a"
"Submit","Enviar"
