"* Required Fields","* Campos obligatorios"
"Add All to Cart","Añadir todo al carrito"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Back","Volver"
"Cannot specify product.","No se pudo especificar artículo."
"Click for price","Haga click para ver precio"
"Comment","Comentario"
"Comment:","Comentarios:"
"Date Added","Fecha de Creación"
"Edit","Editar"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Enabled","Habilitado"
"General Options","Opciones generales"
"In stock","Disponible"
"Last Added Items","Últimos elementos añadidos"
"Message","Mensaje"
"Options Details","Detalles de las opciones"
"Out of stock","No está disponible"
"Price","Precio"
"Product","Producto"
"Product Details and Comment","Detalles del artículo y comentarios"
"Qty","Cantidad"
"RSS Feed","Fuente RSS"
"Remove Item","Eliminar elemento"
"Remove This Item","Eliminar este artículo"
"Remove item","Quitar artículo"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Share Options","Opciones para compartir"
"Sharing Information","Compartiendo información"
"User Description","Descripción del usuario"
"View Details","Mostrar detalles"
"View Product","Vista del artículo"
"What's this?","¿Qué es esto?"
"Wishlist","Lista de deseos"
