"* Required Fields","* Campos obligatorios"
"--Please Select--","--Por favor seleccione--"
"Bank Transfer Payment","Pago por transferencia bancaria"
"Card Verification Number","Número de verificación de tarjeta"
"Cash On Delivery Payment","Pago contra reembolso"
"Check / Money Order","Cheque / Orden de pago internacional"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit card type is not allowed for this payment method.","Este tipo de tarjeta de crédito no está permitido para este método de pago."
"Currency","Moneda"
"Day","Día"
"Debug Mode","Modo depuración"
"Enabled","Habilitado"
"Expiration Date","Fecha de vencimiento"
"Incorrect credit card expiration date.","Fecha de caducidad de la tarjeta de crédito incorrecta."
"Instructions","Instrucciones"
"Invalid Credit Card Number","Número de tarjeta de crédito inválido"
"Issue Number","Número de emisión"
"Make Check Payable to","Pagar el cheque a"
"Make Check payable to:","Pagar el cheque a:"
"Maximum Order Total","Total máximo del pedido"
"Merchant ID","Identificación del comerciante"
"Minimum Order Total","Total mínimo del pedido"
"Month","Mes"
"N/A","N/D"
"New Order Status","Nuevo estado del pedido"
"Password","Contraseña"
"Payment Method","Método de pago"
"Payment Methods","Métodos de pago"
"Payment Services","Servicios de pago"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Please enter a valid credit card verification number.","Por favor, introduzca el número de verificación de tarjeta de crédito válido."
"Purchase Order","Orden de compra"
"Purchase Order Number","Número de orden de compra"
"Selected payment type is not allowed for billing country.","El tipo de pago seleccionado no está permitido para el país de facturación."
"Send Check to","Enviar cheque a"
"Send Check to:","Enviar cheque a:"
"Shipping Amount","Importe del envío"
"Sort Order","Orden de aparición"
"Start Date","Fecha de inicio"
"Switch/Solo/Maestro Issue Number","Número de expedición de Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro únicamente"
"Switch/Solo/Maestro Start Date","Fecha de inicio de Switch/Solo/Maestro"
"Tax Amount","Importe de impuestos"
"Test Mode","Modo de prueba"
"The payment review action is unavailable.","La acción de revisión de pago no está disponible."
"The requested Payment Method is not available.","El método de pago solicitado no está disponible."
"Title","Título"
"Unable to save Billing Agreement:","No se puede guardar el contrato de facturación:"
"What is this?","¿Qué es esto?"
"Year","Año"
