"* Required Fields","* Campos obligatorios"
"-- Select --","-- Selecciona --"
"Add New Option","Añadir nueva opción"
"As Low as","Tan bajo como"
"As low as","Tan bajo como"
"Bundle Items","Elementos en paquete"
"Checkbox","Casilla de verificación"
"Choose a selection...","Elija una selección..."
"Click for price","Haga click para ver precio"
"Close","Cerrar"
"Default","Predeterminado"
"Default Qty","Cantidad (predeterminado)"
"Default Title","Título Predeterminado"
"Drop-down","Menú desplegable"
"Dynamic","Dinámico"
"Excl. Tax","Impuestos NO Incl."
"Fixed","Fijo"
"From","Desde"
"From:","Desde:"
"Gift Message","Mensaje regalo"
"Incl. Tax","Impuestos incl."
"Input Type","Introducir tipo"
"Is Required","Es requerido"
"Message:","Mensaje:"
"Multiple Select","Selección múltiple"
"N/A","N/D"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"None","Ninguno"
"Percent","Porcentaje"
"Percent Discount","Porcentaje de descuento"
"Please Select Products to Add","Por favor, seleccione artículos a añadir"
"Please enter a number greater 0 in this field.","Introduce un número mayor que 0 en este campo."
"Please specify product option(s).","Por favor, especifique las opciones del artículo."
"Position","Posición"
"Price Range","Rango de precios"
"Price Type","Tipo de precio"
"Qty:","Cant:"
"Radio Buttons","Botones de radio"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Separately","Por separado"
"Ship Bundle Items","Enviar artículos de paquete"
"Shipment","Envío"
"Store View Title","Título de vista de tienda"
"To","Hasta"
"To:","A:"
"Together","Juntos"
"Use Default Value","Usar Valor Predeterminado"
"save","guardar"
