"* Required Fields","* Campos obligatorios"
"ALL GROUPS","TODOS LOS GRUPOS"
"Account Information","Información de la cuenta"
"Account Sharing Options","Cuenta Opciones para compartir"
"Action","Acción"
"Add New Address","Agregar nueva dirección"
"Add New Customer","Nuevo cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Address","Dirección"
"Address Book","Libreta de direcciones"
"Address Information","Información de dirección"
"Address Templates","Plantillas para direcciones"
"Addresses","Direcciones"
"Admin","Administrar"
"All","Todos"
"All Store Views","Todas las vistas de la tienda"
"All countries","Todos los países"
"Always optional.","Siempre opcional"
"Amount","Importe"
"Approved","Aprobado"
"Are you sure you want to delete this address?","¿Realmente quiere borrar esta dirección?"
"Are you sure?","¿Seguro que quiere continuar?"
"Assign a Customer Group","Asignar un grupo de clientes"
"Average Sale","Venta promedio"
"Back","Atrás"
"Bad request.","Solicitud incorrecta."
"By Email","Por correo electrónico"
"By IP","Por IP"
"By IP and Email","Por IP y correo electrónico"
"Cancel","Cancelar"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar la contraseña"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Empresa"
"Configure","Configurar"
"Confirm New Password","Confirmar contraseña nueva"
"Confirm Password","Confirmar contraseña"
"Confirmation Link Email","Enlace de confirmación para el correo electrónico"
"Confirmed","Confirmado"
"Contact Information","Información del contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear nuevas opciones para una cuenta"
"Create Order","Crear pedido"
"Create an Account","Crear una cuenta"
"Current Password","Contraseña actual"
"Customer","Cliente"
"Customer Configuration","Configuración del cliente"
"Customer Group","Grupo del cliente"
"Customer Groups","Grupos de cliente"
"Customer Information","Información del cliente"
"Customer Since","Cliente desde"
"Customer View","Vista cliente"
"Customer will stay on the current page if ""No"" is selected.","El cliente permanecerá en la página actual si se elige «No»."
"Customers","Clientes"
"Customers Section","Sección de clientes"
"Date","Fecha"
"Date Added","Fecha de Creación"
"Date of Birth","Fecha de nacimiento"
"Day","Día"
"Default Addresses","Direcciones (predeterminado)"
"Default Billing Address","Dirección de facturación por defecto"
"Default Group","Grupo (predeterminado)"
"Default Shipping Address","Dirección de envío predeterminada"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor para Disable Automatic Group Changes Based on VAT ID (predeterminado)"
"Default Welcome Email","Correo de bienvenida (predeterminado)"
"Delete","Borrar"
"Delete Customer","Eliminar Cliente"
"Delete Customer Group","Borrar grupo de clientes"
"Deleted Stores","Tiendas eliminadas"
"Details","Detalles"
"Disabled","Deshabilitada"
"Edit","Editar"
"Edit Account Information","Editar información de la cuenta"
"Edit Address","Editar dirección"
"Edit Customer Groups","Editar grupos del cliente"
"Edit Group","Editar grupo"
"Email","Correo electrónico"
"Email Address","Dirección de email"
"Email Sender","Remitente de correo electrónico"
"Email:","Correo electrónico:"
"Enable Automatic Assignment to Customer Group","Habilitar la asignación automática al grupo de clientes"
"First Name","Nombre"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Forgot Password","Olvidó la contraseña"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Gender","Sexo"
"General Subscription","Suscripción general"
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Global","General"
"Group","Grupo"
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID del IVA válido - Intraunión"
"Guest","Visitante"
"ID","Número de Identificación (ID)"
"IP Address","Dirección IP"
"Invalid login or password.","Clave o usuario inválido."
"Last Activity","Última actividad"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de baja"
"Last Name","Apellidos"
"Leave empty for default (15 minutes).","Dejar en blanco para tomar el valor por defecto (15 minutos)."
"Lifetime Sales","Ventas acumuladas"
"Login","Entrar"
"Login Options","Opciones para el acceso"
"Manage Addresses","Gestionar direcciones"
"Manage Customers","Gestionar clientes"
"Month","Mes"
"My Account","Mi Cuenta"
"My Orders","Mis pedidos"
"Name","Nombre"
