"(Excl. Tax)","(Impuesto no incluido)"
"(Incl. Tax)","(Incl. impuesto)"
"* Required Fields","* Campos obligatorios"
"Add New Address","Agregar nueva dirección"
"Add New Condition","Añadir Nueva Condición"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir para comparar"
"Add to Wishlist","Añadir a la lista de deseos"
"Address","Dirección"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Allow Guest Checkout","Permitir proceso de pago para visitantes"
"Apply","Aplicar"
"Apply Coupon","Aplicar cupón"
"Are you sure you would like to remove this item from the shopping cart?","¿Seguro que desea eliminar este artículo del carrito de la compra?"
"Back","Volver"
"Back to Billing Information","Volver a información de facturación"
"Back to Select Addresses","Zurück zur Adressauswahl"
"Back to Shipping Information","Zurück zur Lieferadresse"
"Back to Shopping Cart","Volver al carro de compras"
"Billing Address","Dirección de facturación"
"Billing Information","Información de facturación"
"Cancel","Cancelar"
"Cancel Coupon","Cancelar el cupón"
"Cannot process the item.","No se puede procesar el elemento."
"Card Verification Number Visual Reference","Referencia visual de número de verificación de tarjeta"
"Change","Cambio"
"Change Billing Address","Cambiar la dirección de facturación"
"Checkbox Text","Texto del Checkbox"
"Checkout","Realizar pedido"
"Checkout Conditions","Condiciones de pago"
"Checkout Options","Opciones para el proceso de pago"
"Checkout Terms and Conditions","Términos y condiciones de pago"
"City","Ciudad"
"Clear Shopping Cart","Vaciar el carrito"
"Close","Cerrar"
"Company","Empresa"
"Condition Name","Nombre de la condición"
"Configurable Product Image","Imagen de producto configurable"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Content Height","Contenido altura"
"Content Height (css)","Contenido altura (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Weiter zur Rechnungsadresse"
"Country","País"
"Create Billing Address","Crear la dirección de facturación"
"Create Shipping Address","Crear la dirección de envío"
"Customer Information","Información del cliente"
"Data saving problem","Problema de guardar los datos"
"Default Billing","Facturación predeterminada"
"Default Shipping","Envío predetermindado"
"Delete Condition","Eliminar condición"
"Details","Detalles"
"Disabled","Deshabilitada"
"Display Cart Summary","Mostrar Resumen del Carro"
"Display Shopping Cart Sidebar","Mostrar la barra lateral del carrito de compra"
"Display item quantities","Mostrar las cantidades de artículo"
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Edit","Editar"
"Edit Address","Editar dirección"
"Edit Billing Address","Modificar dirección de facturación"
"Edit Condition","Editar condición"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Modificar dirección de envío"
"Edit Terms and Conditions","Editar términos y condiciones"
"Edit Your Cart","Editar Carrito"
"Edit item","Editar artículo"
"Edit item parameters","Editar los parámetros del artículo"
"Email Address","Dirección de email"
"Enable Onepage Checkout","Habilitar Checkout en una sola página"
"Enable Terms and Conditions","Habilitar términos y condiciones"
"Enabled","Habilitado"
"Enter a New Address","Neue Adresse eingeben"
"Estimate Shipping and Tax","Estimación de envío e impuestos"
"Excl. Tax","Impuestos NO Incl."
"Forgot an Item?","¿Ha olvidado un producto?"
"Forgot your password?","¿Olvidó su contraseña?"
"Gift Message","Mensaje regalo"
"Grand Total:","Gesamtbetrag:"
"Grouped Product Image","Imagen de artículo agrupado"
"ID","Número de Identificación (ID)"
"Incl. Tax","Impuestos incl."
"Item not found or already ordered","Artículo no encontrado o ya pedido"
"Items","Artículos"
"Load customer quote error","Error al cargar la oferta al cliente"
"Login","Entrar"
"Terms and Conditions","Términos y condiciones"
"Maximum Display Recently Added Item(s)","Número máximo de artículos añadidos recientemente a mostrar"
"Move","Mover"
"Move to Wishlist","A la lista de deseos"
"My Cart","Mi cesta"
"My Cart Link","Link zu meinem Warenkorb"
"New Address","Nueva dirección"
"New Condition","Nueva condición"
"New Terms and Conditions","Nuevos términos y condiciones"
"No Payment Methods","No hay métodos de pago"
"Order #","Pedido nº "
"Order Review","Revisión de la orden"
"Order Success","Bestellung erfolgt"
"Password","Contraseña"
"Payment Failed Email Sender","Fehlgeschlagene Zahlung - eMail-Absender"
"Payment Failed Emails","Fehlgeschlagene Zahlung - eMail"
"Payment Failed Template","Fehlgeschlagene Zahlung - eMail-Vorlage"
"Payment Information","Información de pago"
"Payment Method","Método de pago"
"Place Order","Realizar pedido"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Please check billing address information.","Por favor comprueba la información de la dirección de facturación."
"Please check shipping address information.","Por favor comprueba la información de la dirección de envío."
"Please check shipping addresses information.","Por favor comprueba la información de las direcciones de envío."
