"Actions","Tindakan"
"Are you sure?","Apakah kamu yakin?"
"Date Added","Tanggal Ditambahkan"
"Last Update","Pembaharuan Terakhir"
"Mark as Read","Tandai telah Dibaca"
"Message","Pesan"
"Messages Inbox","Pesan Kotak masuk"
"Notifications","Pemberitahuan"
"Please select messages.","Silahkan pilih pesan."
"Read Details","Baca Rincian"
"Remove","Hapus"
"Severity","Kerasnya"
"Show List","Tampilkan Daftar"
"Show Toolbar","Tampilkan Toolbar"
"The message has been removed.","Pesan telah dihapus."
"Update Frequency","Perbarui Frekuensi"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk Mendapatkan Feed"
"Wrong message type","Tipe Pesan yang salah"
"critical","kritis"
"major","mayor"
"minor","kecil"
"notice","pemberitahuan"
