"Action","Tindakan"
"Add","Menambahkan"
"Add to Cart","Masukkan ke keranjang"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Approved","Disetujui"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Are you sure?","Apakah kamu yakin?"
"Back","Kembali"
"Block Information","Informasi blok"
"CSV","Csv"
"Change status","Merubah status"
"Country","Negara"
"Customer Since","Pelanggan sejak"
"Customers","Pelanggan"
"Delete","Hapus"
"Disabled","Dinonaktifkan"
"Email","E-mail"
"First Name","Nama depan"
"General Information","Informasi Umum"
"Grid","Kisi"
"ID","Id"
"Last Name","Nama Belakang"
"List","Daftar"
"Name","Nama"
"Pending","Tertunda"
"Price","Harga"
"Product Name","Nama Produk"
"Products","Produk"
"Remove","Hapus"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Status","Subjek"
"Store View","Tampilan toko"
"Tags","Tag"
"Update","Memperbarui"
"ZIP/Post Code","Kode Pos"
"[STORE VIEW]","[LIHAT TOKO]"
