"(Excl. Tax)","(Tidak Termasuk Pajak)"
"(Incl. Tax)","(Sudah Termasuk Pajak)"
"* Required Fields","* Bidang yang harus diisi"
"Add New Address","Tambahkan alamat baru"
"Add New Condition","Tambahkan Kondisi Baru"
"Add to Cart","Masukkan ke keranjang"
"Add to Compare","Tambahkan untuk membandingkan"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Address","Alamat"
"After Adding a Product Redirect to Shopping Cart","Setelah Menambah Pengalihan Produk ke Keranjang Belanja"
"Allow Guest Checkout","Izinkan Tamu Checkout"
"Apply","Menerapkan"
"Apply Coupon","Terapkan Kupon"
"Are you sure you would like to remove this item from the shopping cart?","Apakah anda yakin ingin menghapus item ini dari Keranjang belanja?"
"Back","Kembali"
"Back to Billing Information","Kembali ke Informasi Penagihan"
"Back to Select Addresses","Kembali ke Pilih Alamat"
"Back to Shipping Information","Kembali ke Informasi Pengiriman"
"Back to Shopping Cart","Kembali ke Keranjang Belanja"
"Billing Address","Alamat Tagihan"
"Billing Information","Informasi tagihan"
"Cancel","Batal"
"Cancel Coupon","Membatalkan kupon"
"Cannot process the item.","Tidak dapat memproses item."
"Card Verification Number Visual Reference","Nomor Referensi Visual Verifikasi Kartu"
"Change","Perubahan"
"Change Billing Address","Ubah Alamat Penagihan"
"Checkbox Text","Teks kotak centang"
"Checkout Conditions","Periksa kondisi"
"Checkout Options","Pilihan Checkout"
"Checkout Terms and Conditions","Syarat dan Ketentuan Checkout"
"City","Kota"
"Clear Shopping Cart","Hapus keranjang belanja"
"Close","Tutup"
"Company","Perusahaan"
"Condition Name","Nama Kondisi"
"Configurable Product Image","Gambar Produk yang Dikonfigurasi"
"Confirm Password","Konfirmasi Sandi"
"Content","Konten"
"Content Height","Ketinggian Konten"
"Content Height (css)","Tinggi Konten (css)"
"Continue","Lanjut"
"Continue Shopping","Lanjutkan Belanja"
"Continue to Billing Information","Lanjutkan ke Informasi Penagihan"
"Country","Negara"
"Create Billing Address","Buat Alamat Penagihan"
"Create Shipping Address","Buat Alamat Pengiriman"
"Data saving problem","Masalah penghematan data"
"Default Shipping","Pengiriman Default"
"Delete Condition","Hapus Kondisi"
"Details","Rincian"
"Disabled","Dinonaktifkan"
"Display Cart Summary","Ringkasan Keranjang Belanja"
"Display item quantities","Menampilkan jumlah item"
"Display number of items in cart","Menampilkan jumlah item dalam keranjang"
"Edit","Ubah"
"Edit Address","Edit alamat"
"Edit Billing Address","Edit alamat penagihan"
"Edit Condition","Edit Kondisi"
"Edit Items","Edit item"
