" [deleted]"," [dihapus]"
"* Required Fields","* Bidang yang harus diisi"
"-- Please Select --","-- Silahkan pilih --"
"-- Please Select Billing Agreement--","- Silakan Pilih Perjanjian Penagihan -"
"-- Please Select a Category --","- Silahkan Pilih sebuah Kategori -"
"-- Please select --","-- Silahkan pilih --"
"--Please Select--","--Silahkan pilih--"
"1 Hour","1 jam"
"12 Hours","12 jam"
"12h AM/PM","12h AM / PM"
"2 Hours","2 jam"
"24 Hours","24 jam"
"6 Hours","6 jam"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404Kesalahan</h1> <p> Halaman tidak ditemukan. </p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong> Perhatian </strong>: Captcha peka terhadap huruf besar."
"A user with the same user name or email already exists.","Pengguna dengan nama pengguna atau email yang sama sudah ada."
"API Key","Kunci API"
"Abandoned Carts","Terbengkalai gerobak"
"About the calendar","Tentang kalender"
"Account Created in:","Akun Dibuat dalam:"
"Account Information","Informasi Akun"
"Account Status","Status akun"
"Action","Tindakan"
"Actions","Tindakan"
"Active","Aktif"
"Add","Menambahkan"
"Add New","Tambah baru"
"Add New Block","Tambahkan Blok Baru"
"Add New Image","Tambahkan Gambar Baru"
"Add New Role","Tambahkan Wewenang Baru"
"Add New Template","Tambah template baru"
"Add New URL Rewrite","Tambahkan Rewrite URL Baru"
"Add New User","Tambahkan pengguna baru"
"Add New Variable","Tambahkan Variabel Baru"
"Add Products","Tambahkan Produk"
"Add URL Rewrite","Tambahkan Penulisan ulang URL"
"Add URL Rewrite for a Category","Tambahkan URL pada penulisan katagori ulang"
"Add URL Rewrite for a Product","Tambahkan Rewrite URL untuk sebuah Produk"
"Add after","Tambahkan setelah"
"Additional Cache Management","Manajemen Cache Tambahan"
"All","Semua"
"All Allowed Countries","Semua Negara yang Diizinkan"
"All Cache","Semua cache"
"All Files","Semua data"
"All Reviews","Semua Ulasan"
"All Store Views","Semua Tampilan Store"
"All Websites","Semua Website"
"All countries","Semua negara"
"All valid rates have been saved.","Semua tingkat valid telah disimpan."
"Always (during development)","Selalu (selama pengembangan)"
"Amounts","Jumlah"
"An error occurred while clearing the JavaScript/CSS cache.","Terjadi kesalahan saat menghapus cache JavaScript/CSS."
"An error occurred while clearing the image cache.","Terjadi kesalahan saat membersihkan cache gambar."
"An error occurred while deleting this role.","Terjadi kesalahan saat menghapus wewenang ini."
"An error occurred while saving account.","Terjadi kesalahan saat menyimpan rekening."
"An error occurred while saving this role.","Terjadi kesalahan saat menyimpan wewenang ini."
"Any","Apa saja"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Assigned","Ditugaskan"
"Attributes","Atribut"
"Authorize","Mengizinkan"
"Automatic (equalize price ranges)","Otomatis (menyamakan rentang harga)"
"Automatic (equalize product counts)","Otomatis (menyamakan hitungan produk)"
"Back","Kembali"
"Backup","Cadangkan"
"Backup Name","Nama cadangan"
"Backup options","Pilihan cadangan"
"Backups","Cadangan"
"Base currency","Mata uang dasar"
"Bestsellers","Penjualan terbaik"
"Billing Address","Alamat Tagihan"
"Billing Address: ","Alamat tagihan: "
"Billing Agreement","Perjanjian Penagihan"
"Billing Agreements","Perjanjian Penagihan"
"Block Information","Informasi blok"
"Blocks","Blok"
"Both (without and with tax)","Baik (tanpa dan dengan pajak)"
"Browse Files...","Mencari berkas..."
"By Email","Melalui Email"
"By IP","Melalui IP"
"By IP and Email","Melalui IP dan Email"
"CSV","Csv"
"Cache Control","Kontrol Cache"
"Cache Management","Manajemen Cache"
"Cache Type","Tipe cache"
"Cancel","Batal"
"Cannot add new comment.","Tidak dapat menambahkan komentar baru."
"Cannot add tracking number.","Tidak dapat menambahkan nomor pelacakan."
"Cannot do shipment for the order separately from invoice.","Tidak dapat melakukan pengiriman untuk pesanan terpisah dari faktur."
"Cannot do shipment for the order.","Tidak bisa melakukan pengiriman untuk pesanan."
"Cannot save shipment.","Tidak dapat menyimpan kiriman."
"Cannot send shipment information.","Tidak dapat mengirim informasi pengiriman."
"Cannot update item quantity.","Tidak dapat memperbarui jumlah item."
"Card Verification Number","Nomor Verifikasi Kartu"
"Catalog","Katalog"
"Catalog Price Rules","Aturan harga katalog"
"Catalog Rewrites","Ransel katalog"
"Categories","Kategori"
"Category","Kategori"
"Category:","Katagori:"
"Checkbox","Kotak centang"
"Child Transactions","Transaksi anak"
"Choose Store View:","Pilih Lihat toko:"
"Clear","Kosongkan"
"Close","Tutup"
