"-- Please Select --","-- Silahkan pilih --"
"Attribute Code","Kode Atribut"
"Attribute Label","Lebel Atribut"
"Begin data validation","Mulai validasi data"
"CSV","Csv"
"Cannot get autoincrement value","Tidak bisa mendapatkan nilai autoincrement"
"Check Data","Periksa data"
"Customers","Pelanggan"
"Delete Entities","Hapus Entitas"
"Entity Type","Jenis Entity"
"Export","Ekspor"
"Export File Format","Ekspor Format File"
"Export Settings","Pengaturan Ekspor"
"File is valid! To start import process press ""Import"" button","File itu benar! Untuk memulai proses impor tekan tombol ""Import"""
"Filter","Menyaring"
"From","Dari"
"Import","Impor"
"Import Behavior","Tatacara Impor"
"Import Settings","Pengaturan Impor"
"Import/Export","Ekspor Impor"
"No valid data sent","Tidak ada data valid yang dikirim"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Perbaiki kesalahan dan unggah ulang file atau cukup tekan tombol ""Impor"" untuk melewati baris dengan kesalahan"
"Products","Produk"
"Select File to Import","Pilih File untuk Impor"
"Status","Subjek"
"There are no product types available for export","Tidak ada jenis produk yang tersedia untuk diekspor"
"To","Ke"
"Unknown attribute filter type","Jenis filter atribut tak dikenal"
