"Abandoned Carts","Terbengkalai gerobak"
"Abandoned carts","Gerobak terbengkalai"
"Action","Tindakan"
"Add to Cart","Masukkan ke keranjang"
"Add to Compare","Tambahkan untuk membandingkan"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Any","Apa saja"
"Applied Coupon","Kupon Terapan"
"Are you sure?","Apakah kamu yakin?"
"Bestsellers","Penjualan terbaik"
"CSV","Csv"
"Carts","Keranjang Belanja"
"Compared Products Grid Template","Dibandingkan Produk Grid Template"
"Compared Products List Template","Dibandingkan Daftar Produk Template"
"Coupons","Kupon"
"Coupons Usage Report","Laporan Penggunaan Kupon"
"Created At","Dibuat di"
"Current Month Starts","Bulan Saat Ini Dimulai"
"Customer","Pelanggan"
"Customer Name","Nama Pelanggan"
"Customers","Pelanggan"
"Customers Report","Laporan pelanggan"
"Customers Reviews","Ulasan pelanggan"
"Customers by Number of Orders","Pelanggan dengan Jumlah Pesanan"
"Customers by Orders Total","Pelanggan menurut Pesanan Total"
"Customers by number of orders","Pelanggan dengan jumlah pesanan"
"Dashboard","Dasbor"
"Day","Hari"
"Default Recently Compared Products Count","Default Baru Dibanding Hitungan Produk"
"Default Recently Viewed Products Count","Default Produk Terlihat Baru-baru ini"
"Description","Deskripsi"
"Detail","Rincian"
"Downloads","Unduh"
"Email","E-mail"
"Empty Rows","Baris Kosong"
"Filter","Menyaring"
"First Name","Nama depan"
"From","Dari"
"General","Umum"
"Guest","Tamu"
"Hits","Permintaan"
"ID","Id"
"IP Address","Alamat IP"
"Invoiced","Faktur Ditagihkan"
"Items in Cart","Item dalam Keranjang"
"Last Name","Nama Belakang"
"Last Review","Ulasan terakhir"
"Link","Tautan"
"List of Products Recently Viewed by Visitor","Daftar Produk Baru Dilihat oleh Pengunjung"
"Low Stock","Stok sedikit"
"Low stock","Stok sedikit"
"Month","Bulan"
"Most Viewed","Terpopuler"
"Name","Nama"
"New Accounts","Akun baru"
"No","Tidak"
"Number of Items","Jumlah item"
"Number of Products to display","Jumlah Produk yang akan ditampilkan"
"Order Status","Status pesanan"
"Order Taxes Report Grouped by Tax Rate","Laporan Pesanan Pajak Yang Dikelompokkan menurut Tarif Pajak"
"Orders","Pesanan"
"Out of stock","Habis terjual"
"Period","Periode"
"Price","Harga"
"Product Name","Nama Produk"
"Product Reviews","Ulasan produk"
"Products","Produk"
"Products Ordered","Produk yang dipesan"
"Products Report","Laporan Produk"
"Products Reviews","Ulasan produk"
"Products in carts","Produk di gerobak"
"Purchases","Pembelian"
"Recently Compared","Baru Dibanding"
"Recently Compared Products","Baru Dibanding Produk"
"Recently Viewed","Baru saja dilihat"
"Recently Viewed Products","Produk yang baru saja dilihat"
"Recently Viewed/Compared Products","Produk yang Baru Dilihat / Dibanding"
"Refresh Lifetime Statistics","Segarkan Statistik Seumur Hidup"
"Refresh Statistics","Segarkan Statistik"
"Refresh Statistics for the Last Day","Segarkan Statistik untuk Hari Terakhir"
"Refunds","Pengembalian dana"
"Report","Melaporkan"
"Reports","Laporan"
"Results","Hasil"
"Revenue","Pendapatan"
"Review","Ulasan"
"Reviews","Ulasan"
"Sales","Penjualan"
"Sales Report","Laporan penjualan"
"Search Query","Kueri penelusuran"
"Search Terms","Istilah Pencarian"
"Select day of the month.","Pilih hari dalam sebulan."
"Shipping","Pengiriman"
"Shopping Cart","Keranjang Belanja"
"Show Actual Values","Tampilkan Nilai Aktual"
"Show Report","Tampilkan Laporan"
"Show for Current","Tampilkan untuk saat ini"
"Specified","Ditentukan"
"Statistics","Statistik"
"Tax","Pajak"
"Title","Judul"
"To","Ke"
"Total","Jumlah"
"Total Invoiced vs. Paid Report","Total Faktur Ditagihkan vs Laporan Telah Dibayar"
"Total Ordered Report","Total Laporan Pemesanan"
"Total Refunded Report","Total Laporan Pengembalian Dana"
"Total Shipped Report","Total Laporan yang Dikirim"
"Updated At","Diperbarui pada"
"Viewed Products Grid Template","Dilihat Produk Grid Template"
"Viewed Products List Template","Dilihat Daftar Produk Template"
"Year","Tahun"
"Year-To-Date Starts","Tahun-Untuk-Tanggal Mulai"
"Yes","Ya"
