" Copy"," Salinan"
"Action","Tindakan"
"Add New Template","Tambah template baru"
"Add to Queue","Tambahkan ke antrian"
"Allow Guest Subscription","Izinkan Tamu Berlangganan"
"Are you sure that you want to strip all tags?","Apakah Anda yakin ingin menghapus semua tag?"
"Back","Kembali"
"Cancel","Batal"
"Cancelled","Dibatalkan"
"Confirmation Email Sender","Konfirmasi Email Pengirim"
"Confirmation Email Template","Konfirmasi Email Template"
"Convert to Plain Text","Konversikan ke Teks Biasa"
"Create Newsletter Template","Membuat Newsletter Template"
"Customer","Pelanggan"
"Customer First Name","Nama depan pelanggan"
"Customer Last Name","Nama belakang pelanggan"
"Date Added","Tanggal Ditambahkan"
"Delete","Hapus"
"Delete Selected Problems","Hapus Masalah yang Dipilih"
"Delete Template","Hapus Template"
"Do you really want to cancel the queue?","Apakah Anda benar-benar ingin membatalkan antrian?"
"Edit Queue","Edit Antrian"
"Email","E-mail"
"Enter your email address","Masukkan alamat email Anda"
"Error Code","Kode Kesalahan"
"Error Text","Teks Kesalahan"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Ikuti link ini untuk berhenti berlangganan <!--tag Ini adalah untuk link unsubscribe--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Tamu"
"ID","Id"
"Message","Pesan"
"Need to Confirm","Perlu untuk Konfirmasi"
"New Newsletter Template","Template Baru Newsletter"
"New Template","Template Baru"
"Newsletter","Buletin"
"Newsletter Message Preview","Pratinjau Pesan Newsletter"
"Newsletter Problem Reports","Laporan Masalah Newsletter"
"Newsletter Queue","Antrian Newsletter"
"Newsletter Styles","Gaya Newsletter"
"Newsletter Subscribers","Pelanggan buletin"
"Newsletter Subscription","Berlangganan Newsletter"
"Newsletter Subscriptions","Berlangganan Newsletter"
"Newsletter Templates","Template Newsletter"
"Newsletter subscription confirmation","Konfirmasi berlangganan newsletter"
"Newsletter subscription success","Berlangganan newsletter berhasil"
"Newsletter unsubscription success","Sukses berhenti berlangganan newsletter"
"No Templates Found","Tidak ada Template yang Ditemukan"
"Not Activated","Tidak Diaktifkan"
"Not Sent","Tidak terkirim"
"Pause","Jeda"
"Paused","Dijeda"
"Please enter a valid email address.","Silakan isi alamat email."
"Preview","Pratinjau"
"Preview Template","Pratinjau Template"
"Processed","Diproses"
"Queue Date Start","Antrian tanggal mulai"
"Queue Information","Antrian informasi"
"Queue Start","Antrian Mulai"
"Queue Subject","Antrian Subjek"
"Recipients","Penerima"
"Reset","Set ulang"
"Resume","Lanjutkan"
"Return HTML Version","Kembali Versi HTML"
"Save As","Simpan Sebagai"
"Save Newsletter","Simpan Newsletter"
"Save Template","Simpan Template"
"Save and Resume","Simpan dan Lanjutkan"
"Security","Keamanan"
"Sender","Pengirim"
"Sender Email","Email Pengirim"
"Sender Name","Nama Pengirim"
"Sending","Mengirim"
"Sent","Dikirim"
"Sign Up for Our Newsletter:","Mendaftar untuk Newsletter kami:"
"Start","Mulai"
"Status","Subjek"
"Store","Toko"
"Store View","Tampilan toko"
"Subject","Subyek"
"Submit","Menyerahkan"
"Subscribe","Berlangganan"
"Subscribed","Berlangganan"
"Subscriber","Pelanggan"
"Subscribers","Pelanggan"
"Subscribers From","Pelanggan dari"
"Subscription Options","Pilihan Berlangganan"
"Success Email Sender","Email Pengirim Sukses"
"Success Email Template","Template Email Sukses"
"Template Content","Konten Template"
"Template Information","Informasi Template"
"Template Name","Nama template"
"Template Styles","Gaya Template"
"Template Subject","Subjek Template"
"Template Type","Jenis template"
"Thank you for your subscription.","Terima kasih untuk berlangganan."
"This email address is already assigned to another user.","Alamat email ini sudah ditetapkan ke pengguna lain."
"Type","Jenis"
"Unconfirmed","Belum dikonfirmasi"
"Unsubscribe","Berhenti berlangganan"
"Unsubscribe Selected","Memilih Berhenti berlangganan"
"Unsubscribed","Berhenti Berlangganan"
"Unsubscription Email Sender","Pengirim Email tidak Berlangganan"
"Unsubscription Email Template","Template Email yang Tidak Berlangganan"
"View Newsletter","Lihat Newsletter"
"Website","Situs web"
"Your subscription has been confirmed.","Langganan Anda telah dikonfirmasi."
