"Add Your Review","Tambahkan Ulasan Anda"
"Administrator","Pengelola"
"All Reviews","Semua Ulasan"
"Allow Guests to Write Reviews","Izinkan Tamu Menulis Ulasan"
"Approved","Disetujui"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Are you sure?","Apakah kamu yakin?"
"Average Customer Rating","Rata-rata Penilaian Pelanggan"
"Average Customer Rating:","Rata-rata Penilaian Pelanggan:"
"Back","Kembali"
"Back to Main Product Info","Kembali ke Info Produk Utama"
"Back to My Reviews","Kembali ke Ulasan Saya"
"Back to Product Reviews","Kembali ke Ulasan Produk"
"Be the first to review this product","Jadilah yang pertama mengulas produk ini"
"Created On","Dibuat pada"
"Customer","Pelanggan"
"Customer Reviews","Ulasan pelanggan"
"Customers Reviews","Ulasan pelanggan"
"Delete","Hapus"
"Delete Review","Hapus ulasan"
"Detailed Rating","Peringkat Terperinci"
"Guest","Tamu"
"ID","Id"
"My Product Reviews","Ulasan produk saya"
"My Recent Reviews","Ulasan terakhir saya"
"Name","Nama"
"New Review","Ulasan Baru"
"Nickname","Nama panggilan"
"Not Approved","Tidak disetujui"
"Pending","Tertunda"
"Pending Reviews","Ulasan tertunda"
"Price","Harga"
"Product","Produk"
"Product Name","Nama Produk"
"Product Rating","Produk penilaian"
"Product Rating:","Penilaian Produk:"
"Product Reviews","Ulasan produk"
"Products Reviews","Ulasan produk"
"Qty","Jml"
"Review","Ulasan"
"Review Details","Rincian ulasan"
"Reviews","Ulasan"
"Save Review","Simpan Ulasan"
"Status","Subjek"
"Submit Review","Kirim Ulasan"
"Summary Rating","Ringkasan Rating"
"Summary of Review","Ringkasan Ulasan"
"Title","Judul"
"Type","Jenis"
"Update Status","Perbarui Status"
"View Details","Lihat rincian"
"Websites","Situs web"
"Write Your Own Review","Tulis Ulasan Anda Sendiri"
"You have submitted no reviews.","Anda telah mengirimkan ada ulasan."
"You're reviewing:","Anda sedang mengulas:"
