"Catalog","Katalog"
"Click for price","Klik untuk harga"
"Coupons/Discounts","Kupon / Diskon"
"Customer Order Status Notification","Pemberitahuan Status Pesanan Pelanggan"
"Discount","Diskon"
"Enable RSS","Aktifkan RSS"
"From:","Dari:"
"Get Feed","Dapatkan Feed"
"Gift Message","Pesan hadiah"
"Grand Total","Total keseluruhan"
"Low Stock Products","Produk Stok Rendah"
"Message:","Pesan:"
"Miscellaneous Feeds","Umpan Miscellaneous"
"New Orders","Pesanan Baru"
"New Products","Produk baru"
"Order","Memesan"
"Pending product review(s)","Tertunda produk ulasan"
"RSS Feeds","RSS Feed"
"RSS Feeds Section","Bagian RSS Feed"
"Shipping &amp; Handling","Pengiriman &amp; Penanganan"
"Special Products","Produk khusus"
"Tax","Pajak"
"To:","Ke:"
"Top Level Category","Kategori Tingkat Atas"
"Wishlist","Daftar harga"
