"-- Please Select --","-- Silahkan pilih --"
"Add Secret Key to URLs","Tambahkan Kunci Rahasia ke URL"
"Add Store Code to Urls","Tambahkan Kode Store ke Url"
"Admin Base URL","URL Dasar Admin"
"Admin User Emails","Email Pengguna Admin"
"Advanced","Lanjutan"
"Allow Countries","Izinkan negara"
"Allow Symlinks","Izinkan Symlinks"
"Allowed IPs (comma separated)","IP yang diizinkan (dipisahkan koma)"
"Anchor Text for Next","Teks Jangkar untuk Selanjutnya"
"Anchor Text for Previous","Teks Jangkar untuk Sebelumnya"
"Are you sure?","Apakah kamu yakin?"
"Auto-redirect to Base URL","Auto-redirect ke Base URL"
"Back","Kembali"
"Backup Options","Pilihan cadangan"
"Base Link URL","URL Tautan Basis"
"Base URL","URL dasar"
"Browser Capabilities Detection","Kemampuan Browser Deteksi"
"CSS Settings","Pengaturan CSS"
"Cache Storage Management","Manajemen Penyimpanan Cache"
"Cancel","Batal"
"Card type does not match credit card number.","Jenis kartu tidak cocok dengan nomor kartu kredit."
"Code","Kode"
"Cookie Domain","Domain Cookie"
"Cookie Lifetime","Cookie seumur hidup"
"Cookie Path","Jalur Cookie"
"Cookie Restriction Mode","Mode Pembatasan Kuki"
"Copyright","Hak cipta"
"Country","Negara"
"Create Store","Buat toko"
"Create Store View","Buat tampilan toko"
"Create Website","Buat situs Web"
"Credit card number does not match credit card type.","Nomor kartu kredit tidak cocok dengan jenis kartu kredit."
"Custom Admin Path","Jalur Admin Kustom"
"Custom Admin URL","URL Admin Kustom"
"Custom Design","Desain Kustom"
"Custom Email 2","Email Kustom 2"
"Custom Variables","Variabel Khusus"
"Customer Support","Dukungan Pelanggan"
"Dashboard","Dasbor"
"Date From","Tanggal dari"
"Date To","Tanggal ke"
"Debug","Debugging"
"Default","Bawaan"
"Default Country","Negara Default"
"Default No-route URL","URL Tidak-Rute default"
"Default Pages","Halaman Default"
"Default Robots","Robot standar"
"Default Store","Toko Bawaan"
"Default Store View","Tampilan Bawaan Toko"
"Default Title","Judul Bawaan"
"Default Web URL","URL Web Default"
"Delete","Hapus"
"Delete Store","Hapus Simpan"
"Delete Store View","Hapus tampilan toko"
"Design","Desain"
"Design Change","Perubahan Desain"
"Developer","Pengembang"
"Developer Client Restrictions","Pembatasan Klien Pengembang"
"Disable Email Communications","Nonaktifkan Komunikasi Email"
"Disable Modules Output","Nonaktifkan Output Modul"
"Display Demo Store Notice","Tampilkan Pemberitahuan Demo Demo"
"Duplicate Of Template Name","Duplikat Nama Template"
"Edit Design Change","Edit Perubahan Desain"
"Edit Store","Edit toko"
"Edit Store View","Edit tampilan toko"
"Enable Charts","Aktifkan Grafik"
"Enabled","Diaktifkan"
"Enabled for Admin","Diaktifkan untuk Admin"
"Environment Update Time","Waktu Update Lingkungan"
"European Union Countries","Negara Uni Eropa"
"Favicon Icon","Ikon Favicon"
"File not found","Berkas tidak Ditemukan"
"File system","Berkas sistem"
"File with an extension ""%value%"" is protected and cannot be uploaded","File dengan ekstensi ""%value%"" dilindungi dan tidak dapat diunggah"
"First Day of Week","Hari pertama minggu"
"Footer","Bagian Kaki"
"Forgot Password Email Template","Template Email Lupa Kata Sandi"
"General","Umum"
"General Contact","Kontak Umum"
"General Settings","Pengaturan Umum"
"Header","Tajuk"
"How many links to display at once.","Berapa banyak tautan yang akan ditampilkan sekaligus."
"Incorrect credit card expiration date.","Tanggal kadaluarsa kartu kredit salah."
"Input type ""%value%"" not found in the input types list.","Jenis input ""%value%"" tidak ditemukan dalam daftar jenis input."
"Invalid date","Tanggal tidak berlaku"
"JavaScript Settings","Pengaturan JavaScript"
"Leave empty for access from any location.","Biarkan kosong untuk akses dari lokasi manapun."
"Locale","Lokal"
"Locale Options","Pilihan Lokal"
"Login is Case Sensitive","Login adalah Hal-hal sensitif"
"Logo Image","Gambar logo"
"Logo Image Alt","Gambar Logo Alt"
"Mail Sending Settings","Pengaturan Pengiriman Surat"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Pastikan URL dasar diakhiri dengan '/' (garis miring), mis. http://yourdomain/magento/"
"Media Storage","Penyimpanan media"
"Merge CSS Files","Gabungkan File CSS"
"Merge JavaScript Files","Gabungkan File JavaScript"
"Name","Nama"
"New Store","Toko baru"
"New Store View","Tampilan toko baru"
"No","Tidak"
"PHP SOAP extension is required.","Ekstensi PHP SOAP diperlukan."
"Package","Paket"
"Pagination","Penomoran"
"Pagination Frame","Paginasi Bingkai"
"Pagination Frame Skip","Lewati Paginasi Bingkai"
"Path ""%value%"" is not available and cannot be used.","Jalur "" %value% "" tidak tersedia dan tidak dapat digunakan."
"Path ""%value%"" is protected and cannot be used.","Path "" %value%"" terlindungi dan tidak bisa digunakan."
"Please enter a number 0 or greater in this field.","Silakan masukkan angka 0 atau lebih di bidang ini."
"Please enter a number 1 or greater in this field.","Silakan masukkan angka 1 atau lebih dalam bidang ini."
"Please enter a number greater than 0 in this field.","Masukkan angka lebih besar dari 0 di bidang ini."
"Please enter a valid $ amount. For example $100.00.","Masukkan jumlah $ yang valid. Misalnya $100.00."
"Please enter a valid credit card number.","Silakan masukkan nomor kartu kredit yang benar."
"Please enter a valid credit card verification number.","Silakan masukkan nomor verifikasi kartu kredit yang valid."
"Please enter a valid date.","Silakan masukkan tanggal yang valid."
"Please enter a valid month (1-12).","Silakan masukkan bulan yang valid (1-12)."
"Please enter a valid number in this field.","Masukkan nomor yang valid di bidang ini."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Silahkan masukkan nomor telepon yang benar. Misalnya (123) 456-7890 atau 123-456-7890."
"Please enter a valid zip code.","Silakan masukkan kode pos yang valid."
"Please enter issue number or start date for switch/solo card type.","Silakan masukkan nomor penerbitan atau tanggal mulai beralih/jenis kartu solo."
"Please make sure your passwords match.","Pastikan kata sandi Anda cocok."
"Please select State/Province.","Silahkan pilih State/Province."
"Please select an option.","Silahkan pilih salah satu pilihan."
"Please select one of the options.","Silahkan pilih salah satu pilihannya."
"Please set available and/or protected paths list(s) before validation.","Silakan sediakan daftar jalur yang tersedia dan/atau yang dilindungi sebelum validasi."
"Please use letters only (a-z or A-Z) in this field.","Silakan gunakan huruf saja (a-z atau A-Z) di bidang ini."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Silakan gunakan format tanggal ini: dd/mm/yyyy. Misalnya 17/03/2006 untuk tanggal 17 Maret 2006."
"Recovery Link Expiration Period (hours)","Periode Kadaluarsa Pemulihan (jam)"
"Request Path for Specified Store","Jalur permintaan untuk Toko Tertentu"
"Return-Path Email","Email Jalur-Pengembalian"
"Root Category","Kategori akar"
"Sales Representative","Perwakilan Penjualan"
"Save","Menyimpan"
"Save Store","Simpan toko"
"Save Store View","Simpan tampilan toko"
"Security","Keamanan"
"Select Date","Memilih Tanggal"
"Select Media Database","Pilih Media Database"
"Sender Email","Email Pengirim"
"Sender Name","Nama Pengirim"
"Session Validation Settings","Pengaturan Validasi Sesi"
"Set Return-Path","Mengatur Jalur-Pengembalian"
"Set as Default","Ditetapkan sebagai bawaan"
"Sort Order","Pengurutan"
"Startup Page","Halaman awal"
"Status","Subjek"
"Storage Configuration for Media","Konfigurasi Penyimpanan untuk Media"
"Store","Toko"
"Store Email Addresses","Alamat Email Toko"
"Store Hours of Operation","Simpan Jam Operasi"
"Store Information","Informasi toko"
"Store Name","Nama toko"
"Store View","Tampilan toko"
"Store View Information","Tampilan informasi toko"
"Store view doesn't exist","Tampilan toko tidak ada"
"Store with the same code","Simpan dengan kode yang sama"
"System","Sistem"
"Template Settings","Pengaturan Template"
"Template Variables","Variabel Template"
"The store does not exist","Toko itu tidak ada"
"The value is not within the specified range.","Nilai tidak berada dalam kisaran yang ditentukan."
"The website does not exist.","Situs itu tidak ada."
"Themes","Tema"
"This is a required field.","Ini adalah kolom yang harus diisi."
"This store cannot be deleted.","Toko ini tidak bisa dihapus."
"This store view cannot be deleted.","Tampilan toko ini tidak dapat dihapus."
"This website cannot be deleted.","Situs ini tidak dapat dihapus."
"This will be included before head closing tag in page HTML.","Ini akan disertakan sebelum tag penutup kepala di HTML halaman."
"Timezone","Zona Waktu"
"Transactional Emails","Email Transaksional"
"Translate Inline","Terjemahkan Inline"
"Translations","Terjemahan"
"Url Options","Pilihan Url"
"Use Custom Admin Path","Gunakan Custom Admin Path"
"Use Custom Admin URL","Gunakan URL Admin Kustom"
"Use HTTP Only","Gunakan HTTP saja"
"None","Tidak ada"
"Use Secure URLs in Admin","Gunakan URL Aman di Admin"
"Use Web Server Rewrites","Gunakan Rewrite Server Web"
"VAT Number","Nomor PPN"
"Validate HTTP_USER_AGENT","Validasi HTTP_USER_AGENT"
"Validate HTTP_VIA","Validasi HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validasi HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validasi REMOTE_ADDR"
"Validation has failed.","Validasi telah gagal."
"Variable Code must be unique.","Kode Variabel harus unik."
"Website","Situs web"
"Website with the same code","Website dengan kode yang sama"
"Weekend Days","Hari libur"
"Welcome Text","Teks Selamat datang"
"Wrong file info format","Format info file yang salah"
"Yes","Ya"
