"Actions","Tindakan"
"Active","Aktif"
"Add New Rule","Tambahkan Aturan Baru"
"Alphabetical","Alfabetis"
"Alphanumeric","Alfanumerik"
"Apply","Menerapkan"
"Apply To","Terapkan Untuk"
"Apply to Shipping Amount","Terapkan untuk Jumlah Pengiriman"
"Are you sure you want to delete the selected coupon(s)?","Yakin ingin menghapus kupon(s) yang dipilih?"
"Auto","Mobil"
"Auto Generated Specific Coupon Codes","Otomatis menghasilkan kode kupon khusus"
"Buy X get Y free (discount amount is Y)","Beli X dapatkan Y gratis (jumlah diskonnya adalah Y)"
"By Fixed value","Dari nilai tetap"
"By Percentage","Dari persen"
"Can't acquire coupon.","Tidak bisa membeli kupon."
"Cart Attribute","Atribut Keranjang"
"Catalog","Katalog"
"Code Format","Kode Format"
"Code Length","Panjang Kode"
"Code Prefix","Kode awalan"
"Code Suffix","Kode akhiran"
"Conditions","Kondisi"
"Conditions combination","Ketentuan kombinasi"
"Coupon","Kupon"
"Coupon Code","Kode Kupon"
"Coupon Qty","Kupon Qty"
"Coupon with the same code","Kupon dengan kode yang sama"
"Created On","Dibuat pada"
"Customer Groups","Kelompok pelanggan"
"Dash Every X Characters","Efek setiap karakter x"
"Default Label","Label standar"
"Default Rule Label for All Store Views","Aturan lebel bawaan untuk Semua Tampilan toko"
"Description","Deskripsi"
"Discount Amount","Jumlah diskon"
"Discount Qty Step (Buy X)","Langkah Qty Diskon (Beli X)"
"Edit Rule","Perubahan aturan"
"Excluding prefix, suffix and separators.","Tidak termasuk awalan, akhiran dan pemisah."
"FOUND","DITEMUKAN"
"Fixed amount discount","Diskon jumlah tetap"
"Fixed amount discount for whole cart","Jumlah tetap diskon untuk seluruh keranjang"
"For matching items only","Untuk item yang cocok saja"
"For shipment with matching items","Untuk pengiriman dengan item yang sesuai"
"Free Shipping","Bebas biaya kirim"
"General Information","Informasi Umum"
"Generate","Pembuatan"
"ID","Id"
"If empty no separation.","Jika kosong tidak ada pemisahan."
"Inactive","Tidak aktif"
"Labels","Label"
"Maximum Qty Discount is Applied To","Diskon Qty Maksimum Terapan Untuk"
"NOT FOUND","TIDAK DITEMUKAN"
"NOT LOGGED IN","BELUM MASUK"
"New Rule","Aturan baru"
"No","Tidak"
"No Coupon","Tidak ada kupon"
"Number of Uses","Jumlah Penggunaan"
"Numeric","Numerik"
"Payment Method","Metode pembayaran"
"Percent of product price discount","Persen dari potongan harga produk"
"Period","Periode"
"Price in cart","Harga di keranjang"
"Priority","Prioritas"
"Product attribute combination","Kombinasi atribut produk"
"Products subselection","Subseleksi produk"
"Promotions","Promosi"
"Public In RSS Feed","Publik Di RSS Feed"
"Quantity in cart","Jumlah dalam keranjang"
"Row total in cart","Baris total dalam keranjang"
"Rule Information","Informasi Peraturan"
"Rule Name","Nama aturan"
"Rule is not defined","Aturan tidak didefinisikan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Shipping Country","Negara pengiriman"
"Shipping Method","Metode pengiriman"
"Shipping Postcode","Kode pos pengiriman"
"Shipping Region","Daerah pengiriman"
"Shipping State/Province","Pengiriman Negara Bagian /Provinsi"
"Special Price","Harga spesial"
"Specific Coupon","Kupon Tertentu"
"Status","Subjek"
"Store View Specific Labels","Label Khusus Tampilan Toko"
"This rule no longer exists.","Aturan ini sudah tidak ada lagi."
"Times Used","Waktu yang digunakan"
"To Fixed Value","Untuk Nilai Tetap"
"To Percentage","Untuk Persen"
"Total","Jumlah"
"Total Amount","Jumlah total"
"Total Items Quantity","Jumlah total barang"
"Total Weight","Total berat"
"Update the Product","Perbarui Produk"
"Use Auto Generation","Gunakan Generasi Otomatis"
"Used","Bekas"
"Uses per Coupon","Penggunaan per Kupon"
"Uses per Customer","Penggunaan per pelanggan"
"Website","Situs web"
"Websites","Situs web"
"Yes","Ya"
"total amount","jumlah total"
"total quantity","kuantitas total"
