"Alert Email Sender","Pengirim Email Peringatan"
"Alert subscription has been saved.","Langganan peringatan telah disimpan."
"Allow Alert When Product Comes Back in Stock","Izinkan Pemberitahuan Saat Produk Kembali Berada dalam Persediaan"
"Allow Alert When Product Price Changes","Izinkan Tanda Saat Perubahan Harga Produk"
"Error Email Recipient","Kesalahan Pada Penerimaan Email"
"Error Email Sender","Kesalahan Pada Pengiriman Email"
"Error Email Template","Kesalahan Email Template"
"Frequency","Frekuensi"
"Price Alert Email Template","Template Email Peringatan Harga"
"Price:","Harga:"
"Product Alerts","Peringatan produk"
"Product Alerts Run Settings","Peringatan Produk Jalankan Pengaturan"
"Product alerts Cron error","Peringatan produk Cron error"
"Start Time","Waktu mulai"
"Stock Alert Email Template","Template Email Peringatan Stok"
"You will no longer receive price alerts for this product.","Anda tidak akan lagi menerima peringatan harga untuk produk ini."
"The product was not found.","Produk tidak ditemukan."
"Unable to update the alert subscription.","Tidak dapat memperbarui langganan lansiran."
"Unsubscribe from all price alerts","Berhenti berlangganan semua peringatan harga"
"Unsubscribe from all stock alerts","Berhenti berlangganan dari semua peringatan stok"
"You will no longer receive stock alerts for this product.","Anda tidak akan lagi menerima peringatan stok untuk produk ini."
"You will no longer receive stock alerts.","Anda tidak akan lagi menerima peringatan stok."
