"All Websites","Semua Website"
"Display Prices In Emails","Menampilkan Harga Di Email"
"Display Prices In Product Lists","Menampilkan Harga Dalam Daftar Produk"
"Display Prices In Sales Modules","Menampilkan Harga dalam Modul Penjualan"
"Display Prices On Product View Page","Menampilkan Harga Pada Tampilan Produk"
"Enable FPT","Aktifkan FPT"
"Excluding FPT","Tidak termasuk FPT"
"Fixed Product Tax","Pajak Produk Tetap"
"Fixed Product Taxes","Pajak Produk Tetap"
"Include FPT In Subtotal","Sertakan FPT Secara Subtotal"
"Including FPT and FPT description","Termasuk deskripsi FPT dan FPT"
"Including FPT only","Termasuk FPT saja"
"Total","Jumlah"
"Total Incl. Tax","Total Incl. Pajak"
