"1 Day Freight","1 hari pengiriman"
"2 Day","2 hari"
"2 Day AM","2 hari AM"
"2 Day Freight","Pengiriman 2 hari"
"2nd Day Air","2 hari Air"
"2nd Day Air AM","2 hari Air AM"
"2nd Day Air AM Letter","Surat Air ke 2 Hari"
"2nd Day Air Letter","Surat Air ke 2 Hari"
"3 Day Freight","Pengiriman 3 hari"
"3 Day Select","3 Hari yang dipilih"
"Access ID","Akses. id"
"Access License Number","Nomor lisensi akses"
"Account ID","ID Akun"
"Account Number","Nomor akun"
"Adult","Dewasa"
"Adult Signature Required","Tanda tangan dewasa diperlukan"
"Allowed Methods","Metode yang Diizinkan"
"Break bulk express","Istirahat massal"
"Business Service Center","Pusat Layanan Bisnis"
"Calculate Handling Fee","Hitung Biaya Penanganan"
"Canada Standard","Standar Kanada"
"Cannot retrieve shipping rates","Tidak dapat mengambil tarif pengiriman"
"Centimeters","Sentimeter"
"Commercial","Komersial"
"Configuration","Konfigurasi"
"Container","Wadah"
"Customer Packaging","Kemasan Pelanggan"
"Customer Supplied Package","Paket yang Disediakan Pelanggan"
"DHL service is not available at %s date","Layanan DHL tidak tersedia pada tanggal %s"
"Debug","Debugging"
"Delivery Confirmation","Konfirmasi pengiriman"
"Depth","Kedalaman"
"Destination Type","Jenis Tujuan"
"Development","Pengembangan"
"Direct","Langsung"
"Displayed Error Message","Muncul pesan galat"
"Divide Order Weight","Bagilah Pesanan Order"
"Documents","Dokumen"
"Domestic economy select","Ekonomi dalam negeri pilih"
"Domestic express","Ekspresi domestik"
"Drop Box","Kotak drop"
"Dropoff","Penurunan"
"Easy shop","Toko mudah"
"Economy select","Ekonomi pilih"
"Empty response","Respon kosong"
"Enable Negotiated Rates","Aktifkan Tarif Negosiasi"
"Enabled for Checkout","Diaktifkan untuk Checkout"
"Europack","Paket euro"
"Europe First Priority","Prioritas Pertama Eropa"
"Express 10:30","Ekspres 10:30"
"Express 9:00","Mengekspresikan 9:00"
"Express easy","Ekspresikan dengan mudah"
"Express envelope","Amplop ekspres"
"Express worldwide","Ekspres ke seluruh dunia"
"FedEx 10kg Box","Kotak FedEx 10kg"
"FedEx 25kg Box","Kotak FedEx 25kg"
"FedEx Box","Kotak FedEx"
"FedEx Envelope","Amplop FedEx"
"FedEx Tube","Tabung FedEx"
"First Overnight","Pertama semalam"
"First-Class Mail International Large Envelope","Amplop Luar Kelas Internasional Kelas Satu"
"First-Class Mail International Letter","Surat Internasional Surat Kelas Pertama"
"First-Class Mail International Postcard","Kartu Pos Internasional Kelas Satu"
"First-Class Mail Large Envelope","Amplop Kelas Satu Besar"
"First-Class Mail Large Postcards","Kartu Pos Kelas Satu Kartu Pos Besar"
"First-Class Mail Letter","Surat Kelas Pertama"
"First-Class Mail Postcards","Kartu Pos Mail Kelas Satu"
"First-Class Package International Service","Paket Layanan Internasional Kelas Satu"
"First-Class Package Service","Layanan Paket Kelas Pertama"
"First-Class Package Service - Retail","Layanan Paket Kelas Satu - Ritel"
"First-Class Package Service Hold For Pickup","Layanan Paket Kelas Satu Tahan Untuk Pickup"
"Flat","Datar"
"Flat-Rate Envelope","Amplop rata-rata"
"Free Method","Metode gratis"
"Freight","Kargo"
"Freight worldwide","Pengiriman di seluruh dunia"
"Gateway URL","URL Gateway"
"Gateway XML URL","Gateway URL XML"
"Gift","Beri"
"Girth","Ketebalan"
"Global Express Guaranteed (GXG)","Global Cepat Dokumen Terjamin (GXG)"
"Global Express Guaranteed Document","Global Cepat Dokumen Terjamin"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Dijamin Non-Dokumen Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Rectangular Ekspres Ekspres Global Express"
"Globalmail business","Bisnis global email"
"Ground","Tanah"
"Ground Commercial","Komersial tanah"
"Ground Residential","Tanah perumahan"
"Handling Applied","Penanganan Terapan"
"Handling Fee","Biaya penanganan"
"Height","Tinggi"
"Home Delivery","Pengiriman rumah"
"Inches","Inci"
"Indirect","Tidak langsung"
"International Economy","Ekonomi Internasional"
"International First","Internasional Pertama"
"International Ground","Lapangan internasional"
"International Priority","Prioritas Internasional"
"Intl Economy Freight","Intl Ekonomi Pengangkutan"
"Intl Priority Freight","Intl Prioritas Kargo"
"Jetline","Jalur jet"
"Jumbo box","Kotak jumbo"
"Key","Kunci"
"Kilograms","Kilogram"
"Large","Besar"
"Large Express Box","Kotak Ekspres Besar"
"Length","Panjangnya"
"Letter","Surat"
"Live","Hidup"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Berat Paket Maksimum (Silakan berkonsultasi dengan operator pengiriman Anda untuk berat pengiriman maksimum yang didukung)"
"Medical express","Ekspresi medis"
"Medium Express Box","Kotak Medium Express"
"Merchandise","Barang dagangan"
"Meter Number","Nomor meter"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Paket Berat (Silakan berkonsultasi dengan operator pengiriman Anda untuk pengiriman berat yang didukung minimum)"
"National Freight","Pengangkutan Nasional"
"Next Day Air","Hari berikutnya udara"
"Next Day Air Early AM","Hari berikutnya Udara awal AM"
"Next Day Air Early AM Letter","Selanjutnya Hari udara surat awal AM"
"Next Day Air Intra (Puerto Rico)","Hari berikutnya udara intra (Puerto Rico)"
"Next Day Air Letter","Surat udara Hari Berikutnya"
"Next Day Air Saver","Hari Berikutnya Saver Udara"
"Next Day Air Saver Letter","Surat Air Saver Hari Berikutnya"
"No","Tidak"
"No packages for request","Tidak ada paket permintaan"
"Non Documents","Tidak ada Dokumen"
"Non documents","Tidak dokumen"
"Non-rectangular","Tidak-persegi empat"
"None","Tidak ada"
"Not Required","Tidak dibutuhkan"
"Order","Memesan"
"Origin of the Shipment","Asal kiriman"
"Other","Lain"
"Others","Lainnya"
"Package","Paket"
"Packages Request Type","Jenis Permintaan Paket"
"Packaging","Pengemasan"
"Pallet","Palet"
"Parcel","Paket"
"Password","Kata sandi"
"Pickup Method","Metode Pickup"
"Please make sure to use only digits here. No dashes are allowed.","Pastikan hanya menggunakan angka di sini. Tidak ada tanda hubung yang diizinkan."
"Priority Mail","Email Prioritas"
"Priority Mail Express","Prioritas Mail Express"
"Priority Mail Express Flat Rate Envelope","Amplop Priority Mail Express Flat Rate"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Amplop Prioritas Pesan Ekspres Rating Datar Tahan Untuk Memilih"
"Priority Mail Express Hold For Pickup","Prioritas Mail Express Hold For Pickup"
"Priority Mail Express International","Prioritas Pesan Cepat Internasional"
"Priority Mail Express International Flat Rate Envelope","Amplop Prioritas Pesan Cepat Internasional Rating Rendah"
"Priority Mail Express International Legal Flat Rate Envelope","Amplop Prioritas Pesan Cepat Resmi Internasional Tingkat Rendah"
"Priority Mail Express International Padded Flat Rate Envelope","Amplop Prioritas Pesan Cepat Internasional Rating Rendah"
"Priority Mail Express Legal Flat Rate Envelope","Amplop Prioritas Pesan Ekspres Resmi Menilai Datar"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Amplop Prioritas Resmi Menilai Datar Tahan Untuk Memilih"
"Priority Mail Express Padded Flat Rate Envelope","Amplop Prioritas Pesan Ekspres Resmi Menilai Datar"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Amplop Prioritas Resmi Menilai Datar Tahan Untuk Memilih"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Minggu/Hari Libur"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Alamat Prioritas Pengiriman Cepat Kotak datar Minggu/liburan"
