"10 minutes","10 menit"
"15 minutes","15 menit"
"20 minutes","20 menit"
"30 minutes","30 menit"
"5 minutes","5 menit"
"Daily","Harian"
"Failure History Lifetime","Sejarah Kegagalan Seumur Hidup"
"Generate Schedules Every","Buat Setiap Jadwal"
"History Cleanup Every","Sejarah Setiap Pembersihan"
"Hourly","Per jam"
"Minute Intervals","Menit Interval"
"Missed if Not Run Within","Terjawab jika Tidak Dijalankan"
"Monthly","Bulanan"
"Schedule Ahead for","Jadwal ke depan untuk"
"Success History Lifetime","Sejarah Sukses Seumur Hidup"
"Unable to delete the cron task.","Tidak dapat menghapus tugas cron."
"Weekly","Mingguan"
