"-- Please Select --","-- Silahkan pilih --"
"1 column","1 kolom"
"2 columns with left bar","2 kolom dengan bar kiri"
"2 columns with right bar","2 kolom dengan bar kanan"
"3 columns","3 kolom"
"About the calendar","Tentang kalender"
"Account","Akun"
"All Pages","Semua Halaman"
"Allow","Mengizinkan"
"Close","Tutup"
"Close Window","Tutup jendela"
"Default welcome msg!","Pesan selamat datang default!"
"Empty","Kosong"
"Go Today","Pergi hari ini"
"JavaScript seems to be disabled in your browser.","JavaScript tampaknya dinonaktifkan di browser Anda."
"Left Column","Kolom kiri"
"Next","Berikutnya"
"Page:","Halaman:"
"Previous","Sebelumnya"
"Report All Bugs","Laporkan Semua Bugs"
"Right Column","Kolom kanan"
"Search","Pencarian"
"Select Store","Pilih Toko"
"Show","Menunjukkan"
"View All","Lihat semua"
"Your Language","Bahasa Anda"
"Your Language:","Bahasa Anda:"
"per page","per halaman"
