"Add","Menambahkan"
"Add New Row","Tambahkan baris baru"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Karakter alfanumerik, tanda hubung dan garis bawah direkomendasikan untuk nama file. Karakter yang tidak benar diganti dengan '_'."
"Availability:","Tersedianya:"
"Back","Kembali"
"Canceled","Dibatalkan"
"Date","Tanggal"
"Default Link Title","Judul tautan default"
"Default Maximum Number of Downloads","Default Jumlah Unduhan Maksimum"
"Default Sample Title","Judul Sampel Default"
"Delete","Hapus"
"Disable Guest Checkout if Cart Contains Downloadable Items","Nonaktifkan periksa Tamu jika Cart Mengandung Item yang Dapat Diunduh"
"Downloadable Information","Informasi Download"
"Downloadable Product Options","Pilihan Produk yang dapat diunduh"
"Downloadable Product Section","Bagian Produk yang dapat diunduh"
"Edit","Ubah"
"Edit item parameters","Menyunting parameter item"
"Excl. Tax","Belum termasuk pajak"
"File","Mengajukan"
"From:","Dari:"
"Gift Message","Pesan hadiah"
"Guest checkout will only work with shareable.","Periksa tamu hanya akan bekerja dengan mudah dibagikan."
"In stock","Tersedia"
"Incl. Tax","Incl. Pajak"
"Invalid download link type.","Jenis tautan unduhan tidak sah."
"Invoiced","Faktur Ditagihkan"
"Links can be purchased separately","Tautan bisa dibeli terpisah"
"List","Daftar"
"Max. Downloads","Maks. Download"
"Message:","Pesan:"
"Move","Pindah"
"My Downloadable Products","Produk saya yang dapat di unduh"
"Open Links in New Window","Buka Tautan di Jendela Baru"
"Order #","Pesanan #"
"Order Item Status to Enable Downloads","Status Item Pemesanan ke memungkinkan unduh"
"Order id cannot be null","Memesan id tidak bisa null"
"Order item id cannot be null","Id item pesanan tidak boleh batal"
"Ordered","Dipesan"
"Out of stock","Habis terjual"
"Pending","Tertunda"
"Please set resource file and link type.","Silakan atur sumber daya file dan tipe link."
"Please specify product link(s).","Silakan tentukan tautan produk."
"Price","Harga"
"Qty","Jml"
"Refunded","Dikembalikan"
"Remaining Downloads","Download Tersisa"
"Remove","Hapus"
"Remove Item","Hapus Item"
"Sample","Mencicipi"
"See price before order confirmation.","Lihat harga sebelum konfirmasi pesanan."
"Shareable","Bisa dibagikan"
"Shipped","Dikirim"
"Sorry, there was an error getting requested content. Please contact the store owner.","Maaf, ada kesalahan saat meminta konten. Silahkan hubungi pemilik toko."
"Sort Order","Pengurutan"
"Status","Subjek"
"The link has expired.","Tautan telah kedaluwarsa."
"The link is not available.","Tautan tidak tersedia."
"Title","Judul"
"To:","Ke:"
"Unlimited","Tak terbatas"
"Update","Memperbarui"
"Use Content-Disposition","Gunakan konten-watak"
"Use Default Value","Gunakan Nilai Default"
"View Order","Tampilan Pemesanan"
"What's this?","Apa ini?"
"You have not purchased any downloadable products yet.","Anda belum membeli produk yang dapat diunduh."
"attachment","lampiran"
"inline","di barisan"
"sample","mencicipi"
