"ALL","SEMUA"
"ANY","APA SAJA"
"Add","Menambahkan"
"Apply","Menerapkan"
"Conditions Combination","Ketentuan Kombinasi"
"FALSE","SALAH"
"Open Chooser","Buka pemilih"
"Perform following actions","Lakukan tindakan berikut"
"Remove","Hapus"
"TRUE","BENAR"
"by","oleh"
"contains","mengandung"
"does not contain","tidak mengandung"
"does not contains","tidak berisi"
"equals or greater than","sama atau lebih besar dari"
"equals or less than","sama atau kurang dari"
"for","untuk"
"for greater than","untuk lebih dari"
"for or greater than","untuk atau lebih dari"
"found","ditemukan"
"from","dari"
"greater than","lebih besar dari"
"is","adalah"
"is not","tidak"
"is not one of","bukan salah satunya"
"is one of","adalah salah satu"
"less than","kurang dari"
"not found","tidak ditemukan"
"not from","bukan dari"
"to","untuk"
"was","itu"
"was not","tidak"
