"Add","Menambahkan"
"Add New Role","Tambahkan Wewenang Baru"
"Address Type","Tipe alamat"
"Allow","Mengizinkan"
"Assigned","Ditugaskan"
"Attribute Set","Set Atribut"
"Attributes","Atribut"
"Automatically Return Credit Memo Item to Stock","Kembalikan Pilihan Memo Kredit secara otomatis ke Persediaan"
"Back","Kembali"
"Backorders","Inden"
"Base Currency","Mata uang dasar"
"Catalog","Katalog"
"Category ID","ID Kategori"
"City","Kota"
"Company","Perusahaan"
"Country","Negara"
"Coupon Code","Kode Kupon"
"Create","Membuat"
"Create Permanent Redirect for old URL","Membuat Redirect permanen untuk URL lama"
"Customer","Pelanggan"
"Customer Address","Alamat pelanggan"
"Customer First Name","Nama depan pelanggan"
"Customer ID","ID Pelanggan"
"Customer Last Name","Nama belakang pelanggan"
"Delete","Hapus"
"Deny","Menyangkal"
"Discount","Diskon"
"Discount Amount","Jumlah diskon"
"Edit","Ubah"
"Edit Role","Ubah Wewenang"
"Email","E-mail"
"Enable Qty Increments","Aktifkan penambahan Qty"
"Exclude","Kecuali"
"File Name","Nama Berkas"
"First Name","Nama depan"
"Gift Message","Pesan hadiah"
"Grand Total","Total keseluruhan"
"Group","Kelompok"
"Guest","Tamu"
"ID","Id"
"Last Name","Nama Belakang"
"Manage Stock","Kelola persedian"
"Maximum Qty Allowed in Shopping Cart","Maksimum Qty Diizinkan di Keranjang Belanja"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Diizinkan di Keranjang Belanja"
"New Role","Wewenang Baru"
"Notify for Quantity Below","Beritahu Kuantitas di bawah ini"
"Order","Memesan"
"Order Comments","Komentar pesanan"
"Order Date","Tanggal pemesanan"
"Order ID","ID Pemesanan"
"Order Status","Status pesanan"
"Orders","Pesanan"
"Original Price","Harga Asli"
"Payment Method","Metode pembayaran"
"Phone Number","Nomor telepon"
"Placed from IP","Ditempatkan dari IP"
"Position","Posisi"
"Price","Harga"
"Product","Produk"
"Product ID","ID Produk"
"Qty","Jml"
"Qty Increments","Kenaikan Qty"
"Qty Uses Decimals","Menggunakan desimal Qty"
"Role Info","Info Wewenang"
"Role Information","Informasi Wewenang"
"Role Name","Nama Wewenang"
"Role Users","Pengguna Wewenang"
"Roles","Wewenang"
"Sales","Penjualan"
"Save","Menyimpan"
"Shipping Amount","Jumlah Pengiriman"
"Shipping Method","Metode pengiriman"
"State","Negara Bagian"
"Stock Availability","Ketersediaan stok"
"Stock Status","Status Stok"
"Store Name","Nama toko"
"System","Sistem"
"Tax Amount","Jumlah pajak"
"Tax Percent","Persentase Pajak"
"Tax Rate","Rating Pajak"
"Total Paid","Store View Specific Labels"
"Total Refunded","Jumlah Total Dana Dikembalikan"
"Type","Jenis"
"Update","Memperbarui"
"ZIP/Postal Code","Kode pos"
