"Add Option","Tambahkan Opsi"
"Attribute Code","Kode Atribut"
"Attribute Label","Lebel Atribut"
"Attribute Properties","Atribut Properties"
"Attribute object is undefined","Objek atribut tidak terdefinisi"
"Attribute with the same code","Atribut dengan kode yang sama"
"Catalog Input Type for Store Owner","Jenis Masukan Katalog untuk Pemilik Toko"
"Date","Tanggal"
"Decimal Number","Angka desimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Daftar Produk bawaan Sortir tidak tersedia di Daftar Produk yang Tersedia Urutkan Berdasarkan."
"Default Value","Nilai Standar"
"Delete","Hapus"
"Dropdown","Drop-down"
"Email","E-mail"
"Entity is not initialized","Entitas tidak diinisialisasi"
"Entity object is undefined","Objek entitas tidak terdefinisi"
"Form Element with the same attribute","Dari Elemen dengan atribut yang sama"
"Form Fieldset with the same code","Dari Fieldset dengan kode yang sama"
"Form Type with the same code","Dari tipe dengan kode yang sama"
"Input Validation for Store Owner","Validasi Masukan untuk Pemilik Toko"
"Integer Number","Nomor Integer"
"Invalid alias, already exists in joint attributes","Alias ​​tidak valid, sudah ada di atribut bersama"
"Invalid date","Tanggal tidak berlaku"
"Invalid joint fields","Bidang gabungan tidak sah"
"Joint field or attribute expression with this alias is already declared","Ekspresi lapangan bersama atau atribut dengan alias ini sudah dinyatakan"
"Letters","Surat"
"Letters (a-z, A-Z) or Numbers (0-9)","Surat (az, Az) atau Angka (0-9)"
"Multiple Select","Beberapa Pilih"
"No","Tidak"
"None","Tidak ada"
"Required","Wajib"
"System","Sistem"
"Text Area","Area teks"
"Text Field","Bidang Teks"
"Unique Value","Nilai Unik"
"Unique Value (not shared with other products)","Nilai Unik (tidak dibagikan dengan produk lain)"
"Values Required","Nilai yang dibutuhkan"
"Yes","Ya"
"Yes/No","Ya/Tidak"
