"""Remember Me"" Default Value","""Remember Me"" Nilai Default"
"* Required Fields","* Bidang yang harus diisi"
"Address","Alamat"
"Address Information","Informasi Alamat"
"Back","Kembali"
"City","Kota"
"Close","Tutup"
"Company","Perusahaan"
"Confirm Password","Konfirmasi Sandi"
"Continue","Lanjut"
"Country","Negara"
"Create an Account","Buat sebuah akun"
"Email Address","Alamat email"
"Enable ""Remember Me""","Aktifkan ""Ingat Saya"""
"Enable Persistence","Aktifkan Kegigihan"
"Fax","Faks"
"Forgot Your Password?","Lupa kata sandi Anda?"
"Forgot your password?","Lupa kata sandi Anda?"
"General Options","Pilihan umum"
"Login","Masuk"
"New Customers","Pelanggan baru"
"Password","Kata sandi"
"Persist Shopping Cart","Daftar Belanja Tetap"
"Persistence Lifetime (seconds)","Ketekunan Lifetime (detik)"
"Persistent Shopping Cart","Daftar Belanja yang Persisten"
"Personal Information","Informasi pribadi"
"Please select region, state or province","Silakan pilih wilayah, negara bagian atau provinsi"
"Registered Customers","Pelanggan terdaftar"
"Remember Me","Ingat saya"
"Save in address book","Simpan di buku alamat"
"Sign Up for Newsletter","Mendaftar untuk Newsletter"
"State/Province","Negara Bagian/Provinsi"
"Street Address","Alamat jalan"
"Submit","Menyerahkan"
"VAT Number","Nomor PPN"
"What's this?","Apa ini?"
"Zip/Postal Code","Kode pos"
