"-- Please Select --","-- Silahkan pilih --"
"Actions","Tindakan"
"Add Layout Update","Tambahkan Update Tata Letak"
"All","Semua"
"All Pages","Semua Halaman"
"All Product Types","Semua Jenis Produ"
"Anchor Categories","Kategori Jangkar"
"Apply","Menerapkan"
"Assign to Store Views","Tetapkan ke Tampilan Store"
"Big Image","Gambar besar"
"Categories","Kategori"
"Choose...","Pilih..."
"Close","Tutup"
"Continue","Lanjut"
"Default Template","Template Default"
"Delete","Hapus"
"Design Package/Theme","Paket Desain / Tema"
"Export to:","Ekspor ke:"
"Generic Pages","Halaman Generik"
"Images","Gambar"
"Insert Widget","Masukkan widget"
"Layout Updates","Pembaruan Tata Letak"
"New Widget Instance","Contoh Widget Baru"
"Next page","Halaman selanjutnya"
"Non-Anchor Categories","Kategori Non-Jangkar"
"Not Selected","Tidak terpilih"
"Open Chooser","Buka pemilih"
"Page","Halaman"
"Previous page","Halaman sebelumnya"
"Products","Produk"
"Remove Layout Update","Hapus Pembaruan Tata Letak"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Select All","Pilih Semua"
"Select Visible","Pilih yang terlihat"
"Settings","Pengaturan"
"Sort Order","Pengurutan"
"Specified Page","Halaman yang ditentukan"
"The information in this tab has been changed.","Informasi dalam tab ini telah diubah."
"The widget instance has been deleted.","Contoh widget telah dihapus."
"The widget instance has been saved.","Contoh widget telah disimpan."
"Thumbnail","Gambar Kecil"
"Type","Jenis"
"Unselect All","Batalkan Semua Pilihan"
"Unselect Visible","Batalkan pilihan yang terlihat"
"View","Melihat"
"Widget ID","ID Widget"
"Widget Insertion","Penyisipan Widget"
"Widget Options","Pilihan Widget"
"Widget Type","Tipe widget"
"Widgets","Widget"
"per page","per halaman"
