"2nd Day Air","2 hari Air"
"2nd Day Air AM","2 hari Air AM"
"3 Day Select","3 Hari yang dipilih"
"Allowed Methods","Metode yang Diizinkan"
"Commercial","Komersial"
"Debug","Debugging"
"Enable","Memungkinkan"
"First Overnight","Pertama semalam"
"Free Shipping","Bebas biaya kirim"
"Ground","Tanah"
"Home Delivery","Pengiriman rumah"
"Inches","Inci"
"Location","Lokasi"
"Media Mail","Surat media"
"Merchant ID","ID Pedagang"
"Method","Metode"
"New Order Status","Status Pesanan Baru"
"Next Day Air","Hari berikutnya udara"
"Next Day Air Early AM","Hari berikutnya Udara awal AM"
"Next Day Air Saver","Hari Berikutnya Saver Udara"
"No","Tidak"
"Priority Mail","Email Prioritas"
"Priority Overnight","Prioritas Semalam"
"Residential","Perumahan"
"Standard Overnight","Standar Bermalam"
"Title","Judul"
"Yes","Ya"
