"* Required Fields","* Обязательные поля"
"ALL GROUPS","ВСЕ ГРУППЫ"
"Account Dashboard","Панель управления"
"Account Information","Данные учётной записи"
"Account Sharing Options","Параметры совместного доступа к учетной записи"
"Action","Действие"
"Add New Address","Добавить новый адрес"
"Add New Customer","Добавление нового клиента"
"Add New Customer Group","Добавить новую группу покупателей"
"Added From","Добавлено из"
"Additional Address Entries","Дополнительные адреса"
"Address","Адрес"
"Address Book","Адресная книга"
"Address Information","Информация об адресе"
"Addresses","Адреса"
"Admin","Администратор"
"All","Все"
"All Store Views","Хранилище всех просмотров"
"All countries","Все страны"
"Always optional.","Всегда необязательно."
"Amount","Количество"
"Approved","Утвержден"
"Are you sure that you want to remove this item?","Вы действительно хотите удалить эту позицию?"
"Are you sure you want to cancel adding of this address?","Вы действительно хотите отменить добавление этого адреса?"
"Are you sure you want to delete this address?","Вы уверены, что хотите удалить этот адрес?"
"Are you sure?","Вы уверены?"
"Average Sale","Средние продажи"
"Back","Назад"
"Back to Login","Вернуться на форму авторизации"
"Bad request.","Неверный запрос."
"Bill to Name","Плательщик"
"Bought From","Куплено из"
"By Email","По Email"
"By IP","По IP"
"By IP and Email","По IP и Email"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Создав учётную запись на нашем сайте, вы будете тратить меньше времени на оформление заказа, сможете хранить несколько адресов доставки, отслеживать состояние заказов, а также многое другое."
"CSV","CSV (разделитель - запятые)"
"Cancel","Отмена"
"Change Account Password","Изменить пароль учётной записи"
"Change Billing Address","Изменить платежный адрес"
"Change Password","Сменить пароль"
"Change Shipping Address","Изменить адрес доставки"
"City","Город"
"Company","Компания"
"Config","Конфигурация"
"Configure","Настроить"
"Confirm New Password","Введите пароль ещё раз"
"Confirm Password","Подтверждение пароля"
"Confirmation Link Email","Письмо (email) со ссылкой подтверждения"
"Confirmed","Подтверждено"
"Contact Information","Контактная информация"
"Continue Shopping","Продолжить покупки"
"Country","Страна"
"Create","Создать"
"Create New Account Options","Создание новых параметров учетной записи"
"Create New Customer Account","Создать новую учётную запись клиента"
"Create Order","Создать заказ"
"Create an Account","Создание учетной записи"
"Create customer","Создать клиента"
"Create customer address","Создать адрес клиента"
"Current Password","Tекущий пароль"
"Customer","Клиент"
"Customer Addresses","Адреса клиента"
"Customer Configuration","Конфигурация клиента"
"Customer Group","Группы клиентов"
"Customer Groups","Группы покупателей"
"Customer Information","Информация клиента"
"Customer Login","Вход в систему"
"Customer Since","Клиент с"
"Customer View","Просмотр клиента"
"Customers","Покупатели"
"Customers Only","Только для клиентов"
"DD","День (DD)"
"Date","Дата"
"Date Added","Добавлено"
"Date of Birth","Дата рождения"
"Day","День"
"Days in Wishlist","Дней в листе пожеланий"
"Default Addresses","Адреса по умолчанию"
"Default Billing Address","Адрес выставления счета по умолчанию"
"Default Email Domain","Домен письма по умолчанию"
"Default Group","Группы по умолчанию"
"Default Shipping Address","Адрес доставки по умолчанию"
"Default Welcome Email","Письмо с приветствием по умолчанию"
"Delete","Удалить"
"Delete Address","Удалить адрес"
"Delete Customer","Удаление клиента"
"Delete Customer Group","Удалить группу покупателей"
"Delete customer","Удалить клиента"
"Delete customer address","Удалить адрес клиента"
"Deleted Stores","Удаленные магазины"
"Details","Подробнее"
"Disabled","Отключено"
"Edit","Редактировать"
"Edit Account Info","Редактировать учётную запись"
"Edit Account Information","Изменить сведения об учетной записи"
"Edit Address","Изменить адрес"
"Edit Address Entry","Редактировать запись адреса"
"Edit Customer Group ""%s""","Редактировать группу клиента ""%s"""
"Edit Customer Groups","Редактировать группы клиентов"
"Edit Customer's Address","Редактировать адрес клиента"
"Edit Group","Редактировать группу"
"Edit Newsletters","Изменить новостные письма"
"Email","Электронная почта"
"Email Address","Адрес электронной почты"
"Email Sender","Отправитель электронной почты"
"Email:","Электронная почта:"
"Failed to confirm customer account.","Не удалось подтвердить учётную запись клиента."
"Fax","Факс"
"First Name","Имя"
"Forgot Email Template","Шаблон письма о забытом пароле"
"Forgot Password","Забыли пароль"
"Forgot Your Password?","Забыли Ваш пароль?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","С помощью панели управления у вас есть возможность просматривать краткий обзор активности учётной записи и обновлять информацию о ней. Выберите ссылку для просмотра или редактирования информации."
"Gender","Пол"
"General Subscription","Общая подписка"
"Global","Глобальнo"
"Group","Группа"
"Group Information","Информация о группе"
"Group Name","Название группы"
"Guest","Гость"
"Hello, %s!","Здравствуйте, %s!"
"ID","Идентификатор"
"IP Address","IP-адрес"
