"Add","Добавить"
"Add New Role","Добавить новую роль"
"Address Type","Тип адреса"
"Admin","Администратор"
"Allow","Разрешить"
"Assigned","Соответствует"
"Attribute Set","Набор атрибутов"
"Attributes","Атрибуты"
"Back","Назад"
"Backorders","Предзаказы"
"Base Currency","Базовая валюта"
"Catalog","Каталог"
"Category ID","Категория ID"
"City","Город"
"Company","Компания"
"Country","Страна"
"Coupon Code","Код купона"
"Create","Создать"
"Create Permanent Redirect for old URL","Создание постоянного перенаправления для старого URL-адреса"
"Customer","Клиент"
"Customer Address","Адрес заказчика"
"Customer First Name","Имя клиента"
"Customer ID","ID клиента"
"Customer Last Name","Фамилия клиента"
"Delete","Удалить"
"Deny","Запретить"
"Discount","Скидка"
"Discount Amount","Сумма скидки"
"Edit","Редактировать"
"Edit Role","Редактировать роль"
"Email","Электронная почта"
"Enable Qty Increments","Включение Qty с шагом"
"Exclude","Исключить"
"File Name","Имя файла"
"First Name","Имя"
"Gift Message","Подарочное сообщение"
"Grand Total","Общий итог"
"Group","Группа"
"Guest","Гость"
"ID","Идентификатор"
"Label","Метка"
"Last Name","Фамилия"
"Manage Stock","Управление наличием"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во в корзину"
"Minimum Qty Allowed in Shopping Cart","Минимальное Кол-во в корзину"
"Notify for Quantity Below","Уведомления для количества ниже"
"Order","Заказ"
"Order Comments","Комментарии к заказу"
"Order Date","Дата заказа"
"Order ID","ID заказа"
"Order Status","Статус заказа"
"Orders","Заказы"
"Original Price","Изначальная цена"
"Payment Method","Метод оплаты"
"Phone Number","Номер телефона"
"Placed from IP","Размещен с IP"
"Position","Позиция"
"Price","Цена"
"Product","Товар"
"Product ID","ID товара"
"Product Type","Тип товара"
"Qty","Кол-во"
"Qty Increments","Qty с шагом"
"Qty Uses Decimals","Количество использует десятичные дроби"
"Role Info","Информация о роли"
"Role Information","Сведения о роли"
"Role Name","Название роли"
"Role Users","Пользователи с этой ролью"
"Roles","Роли"
"SKU","Артикул"
"Sales","Продажи"
"Save","Сохранить"
"Shipping Amount","Стоимость доставки"
"Shipping Method","Способ доставки"
"State","Штат"
"Stock Availability","Наличие на складе"
"Stock Status","Статус наличия"
"Store Name","Название магазина"
"Subtotal","Промежуточный итог"
"System","Система"
"Tax Amount","Величина налога"
"Tax Percent","Налоговый процент"
"Tax Rate","Налоговая ставка"
"Total Due","Общие сборы"
"Total Paid","Всего оплачено"
"Total Refunded","Всего возвращено"
"Type","Тип"
"Update","Обновить"
"Web Services","Интернет сервисы"
"Web services","Интернет сервисы"
"ZIP/Postal Code","Почтовый индекс"
