"-- Please Select --","-- Выберите --"
"Add Block Names to Hints","Добавлять названия блоков к подсказкам"
"Add Secret Key to URLs","Добавьте секретный ключ к URL-адресам"
"Add Store Code to Urls","Добавить код магазина для URL-адресов"
"Admin","Администратор"
"Admin Base URL","Базовый URL административной панели"
"Admin User Emails","E-mail администраторов"
"Advanced","Расширенный"
"Allow Countries","Разрешить странам"
"Allow Symlinks","Разрешить ссылки"
"Allowed IPs (comma separated)","Разрешённые IP-адреса (через запятую)"
"Anchor Text for Next","Якорный текст для следующей"
"Anchor Text for Previous","Якорный текст для перехода к предыдущим"
"Are you sure?","Вы уверены?"
"Auto-redirect to Base URL","Автоматическая переадресация на Base URL"
"Back","Назад"
"Backup Options","Параметры резервного копирования"
"Base JavaScript URL","Базовый путь к JavaScript"
"Base Link URL","Базовый URL ссылок"
"Base Media URL","Базовый путь к Media"
"Base Skin URL","Базовый путь к оболочке (Skin)"
"Base URL","Базовый URL"
"Block with name ""%s"" already exists","Блок с названием ""%s"" уже существует"
"CSS Settings","CSS настройки"
"Cache Storage Management","Управление хранилищем кэша"
"Can't retrieve request object","Невозможно получить объект запроса"
"Can't retrieve entity config: %s","Невозможно получить конфигурацию: %s"
"Cancel","Отмена"
"Cannot complete this operation from non-admin area.","Невозможно завершить данную операцию не из панели администрирования."
"Card type does not match credit card number.","Тип карты не совпадает с номером кредитной карты."
"Code","Код"
"Controller file was loaded but class does not exist","Файл контроллера был загружен, но класс не существует"
"Cookie Domain","Домен Cookie"
"Cookie Lifetime","Время жизни Cookie"
"Cookie Path","Путь для Cookie"
"Cookie Restriction Mode","Режим ограничения Cookie"
"Copyright","Авторские права"
"Country","Страна"
"Create Store","Создать магазин"
"Create Store View","Создать представление магазина"
"Create Website","Создать веб-сайт"
"Credit card number does not match credit card type.","Номер кредитной карты не соответствует типу кредитной карты."
"Custom Admin Path","Пользовательский путь администратора"
"Custom Admin URL","Пользовательский Admin URL"
"Custom Design","Индивидуальный дизайн"
"Custom Email 1","Пользовательский Email 1"
"Custom Email 2","Пользовательский Email 2"
"Customer Support","Поддержка клиентов"
"Dashboard","Панель управления"
"Date From","Дата с"
"Date To","Дата по"
"Date/time format ""%s"" is not supported.","Не поддерживается формат Date/time ""%s""."
"Debug","Отладка"
"Default","По умолчанию"
"Default Country","Страна по умолчанию"
"Default Description","Описание по умолчанию"
"Default Keywords","Ключевые слова по умолчанию"
"Default No-route URL","No-route URL по умолчанию"
"Default Pages","Страницы по умолчанию"
"Default Robots","Роботы по умолчанию"
"Default Store","Магазин по умолчанию"
"Default Store View","Представление магазина по умолчанию"
"Default Title","Заголовок по умолчанию"
"Default Web URL","Web URL по умолчанию"
"Delete","Удалить"
"Delete Store","Удалить магазин"
"Delete Store View","Удалить представление магазина"
"Delete Website","Удалить сайт"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Удаление %1$s не удалит информацию, связанную с %1$s (категории товары и т.д.), но в дальнейшем %1$s восстановить будет невозможно. Предполагается, что вы создали резервную копию БД перед удалением %1$s."
"Design","Дизайн"
"Design Change","Изменение дизайна"
"Developer","Разработчик"
"Developer Client Restrictions","Ограничения доступа разработчика (считать пользователя разработчиком, только если...)"
"Disable Email Communications","Отключить сообщения электронной почты"
"Disable Modules Output","Отключение модулей вывода"
"Display Demo Store Notice","Отображать уведомление о том, что это демонстрационный сайт"
"Edit Design Change","Редактирование дизайна"
"Edit Store","Редактировать магазин"
"Edit Store View","Изменить представление магазина"
"Edit Website","Редактировать сайт"
"Empty identifier field name","Пустое название поля идентификатора"
"Empty main table name","Пустое название основной таблицы"
"Enable Charts","Включить диаграммы"
"Enabled","Включено"
"Enabled for Admin","Включено для админки"
"Enabled for Frontend","Включено для пользовательской части"
"Error in file: ""%s"" - %s","Ошибка в файле: ""%s"" - %s"
"European Union Countries","Страны Европейского Союза"
"Exceptions Log File Name","Названия лог файла исключений"
"Favicon Icon","Значок Favicon"
"File not found","Файл не найден"
"File system","Файловая система"
"First Day of Week","Первый день недели"
"Flush Cache Storage","Очистить хранилище кэша"
"Flush Magento Cache","Очистить кэш Magento"
"Footer","Нижний колонтитул"
"Forgot Password Email Sender","Письмо о забытом пароле. Отправитель"
"Forgot Password Email Template","Забыли пароль? Шаблон E-mail"
"General","Общие"
"General Contact","Общий контакт"
"General Settings","Общие настройки"
"Global","Глобальнo"
"HTML Head","HTML заголовок"
"Header","Заголовок (header)"
"Host","Хост"
"How many links to display at once.","Сколько ссылок, чтобы отобразить сразу."
"Incorrect credit card expiration date.","Неправильный срок истечения кредитной карты."
"Invalid base url type","Недействительный тип базового URL"
"Invalid block type: %s","Недействительный тип блока: %s"
"Invalid block: %s","Неверный блок: %s"
"Invalid date","Неверная дата"
"Invalid layout update handle","Недействительный обработчик обновления макета (layout update)"
"Invalid messages storage ""%s"" for layout messages initialization","Недействительное хранилище сообщений ""%s"" для инициализации сообщений макета"
"JavaScript Settings","Настройки JavaScript"
"Layout","Раскладка"
"Locale","Локализация"
"Locale Options","Настройки локализации"
"Log Settings","Настройки лога"
"Login is Case Sensitive","Логин чувствителен к регистру"
"Logo Image","Изображение логотипа"
"Logo Image Alt","Alt изображения логотипа"
"Logo Image Src","Src изображения логотипа"
"Mail Sending Settings","Настройки отправки почты"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Убедитесь, что Base URL заканчивается на «/» (косая черта), например http://yourdomain/magento/"
"Manage Stores","Управление магазинами"
"Match expressions in the same order as displayed in the configuration.","Сравнивать выражения в том порядке, который указан в конфигурации."
"Media Storage","Хранилище медии"
"Merge CSS Files","Группирование файлов CSS"
"Merge JavaScript Files","Объединение файлов JavaScript"
"Miscellaneous HTML","Различный HTML"
"Name","Название"
"New Design Change","Новое изменение дизайна"
"New Store","Новый магазин"
"New Store View","Новое представление магазина"
"New Website","Новый сайт"
"No","Нет"
"Offloader header","Заголовок Offloader-разгрузки"
"Package","Пакет"
"Pagination","Пагинация"
"Pagination Frame","Паганиция фреймов"
"Pagination Frame Skip","Пропуск паганиции фреймов"
"Please define flag code.","Определитесь с этим кодом."
"Please enter a number 0 or greater in this field.","Пожалуйста, введите число 0 или больше в это поле."
"Please enter a number 1 or greater in this field.","Пожалуйста, введите число 1 и больше."
"Please enter a number greater than 0 in this field.","Пожалуйста, введите число больше 0 в это поле."
