"* Select shipping method","* Выберите метод доставки"
"AVS Status: %s","AVS статус: %s"
"Add Shipping Method","Добавить метод доставки"
"Allowed Methods","Разрешенные методы"
"Amount: %s","Сумма: %s"
"Auto-generated from GoogleCheckout Charge","Сгенерировано автоматически из GoogleCheckout Charge"
"CC Partial: xxxx-%s","Частичное CC: хххх- %s"
"CID Status: %s","CID статус: %s"
"Carrier Calculated Methods","Методы доставки курьером"
"Cart Discount","Скидка для корзины"
"Checkout Image Style","Стиль изображения для оформления"
"Continue Shopping URL","URL для продолжения покупок"
"Debug","Отладка"
"Default Package Height (in)","Высота пакета по умолчанию (in)"
"Default Package Length (in)","Длинна пакета по умолчанию (in)"
"Default Package Width (in)","Ширина пакета по умолчанию (in)"
"Default price:","Цена по умолчанию:"
"Delivery Address Category","Категория адреса доставки"
"Enable","Включить"
"Enable Carrier Calculated","Включить расчёт стоимости доставки курьером"
"Enable Digital Delivery","Включить цифровую доставку"
"Enable Flat Rate","Включить Flat Rate"
"Expiration: %s","Истечение срока: %s"
"Express Mail","Экспресс-почта"
"Express Saver","Экспресс хранитель"
"FedEx","Fedex"
"Financial: %s -> %s","Финансовый: %s -> %s"
"First Overnight","Первый ночлег"
"Free Shipping","Бесплатная доставка"
"Fulfillment: %s -> %s","Выполнение: %s -> %s"
"Google Authorization:","Google авторизация:"
"Google Charge:","Google обязанности:"
"Google Checkout Shipping - Carrier Calculated","Google checkout доставка — Вызов курьера"
"Google Checkout Shipping - Flat Rate","Google checkout доставка — плавающая величина"
"Google Checkout Shipping - Merchant Calculated","Google checkout доставка — вычисляемая продавцом"
"Google Checkout: %s","Google checkout: %s"
"Google Order Number: %s","Google номер заказа: %s"
"Google Refund:","Google возврат:"
"Google Risk Information:","Google информация о рисках:"
"Ground","Наземный"
"Home Delivery","Доставка на дом"
"IP Address: %s","IP адрес: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Если включено, содержимое корзины будет скрыто после нажатия на кнопку Google Checkout в корзине покупок и показано, когда будет нажата ссылка ""Редактировать корзину""."
"Inches","Дюймы"
"Large - %s","Большой - %s"
"Latest Charge: %s","Последнее пополнение: %s"
"Latest Refund: %s","Последний возврат: %s"
"Location","Место нахождения"
"Media Mail","Медиа почта"
"Medium - %s","Среднее - %s"
"Merchant ID","ID продавца"
"Merchant Key","Ключ продавца"
"Method","Метод"
"New Order Status","Статус нового заказа"
"No","Нет"
"Optional, leave empty for home page.","Необязательно, оставьте пустым для главной страницы."
"Parcel Post","Почтовая посылка"
"Priority Mail","Приоритетное письмо"
"Priority Overnight","Приоритетная ночная"
"Sandbox","Песочница (Sandbox)"
"Small - %s","Маленький - %s"
"Standard Overnight","Стандартный Overnight"
"Title","Заголовок"
"Total Charged: %s","Общая оплата: %s"
"Total Refunded: %s","Общий возврат: %s"
"Transparent","Прозрачно"
"United Kingdom","Великобритания"
"United States","США"
"White Background","Белый фон"
"Yes","Да"
"You will be redirected to GoogleCheckout in a few seconds.","Вы будете перенаправлены на сайт GoogleCheckout через несколько секунд."
