"# of Uses","# использований"
"Action","Действие"
"Add","Добавить"
"Add New Tag","Добавить новую метку"
"Add Tags","Добавить метки"
"Add Your Tags:","Добавьте ваши метки:"
"Add to Cart","Добавить в корзину"
"Add to Wishlist","Добавить в Список желаний"
"All Tags","Все метки"
"Approved","Утвержден"
"Are you sure you want to delete this tag?","Вы действительно хотите удалить эту метку?"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Are you sure?","Вы уверены?"
"Back","Назад"
"Back to Tags List","Вернуться к списку меток"
"Block Information","Блок информации"
"CSV","CSV (разделитель - запятые)"
"Change status","Изменить статус"
"Click on a tag to view your corresponding products.","Нажмите на метку для просмотра помеченных товаров."
"Country","Страна"
"Customer Since","Клиент с"
"Customers","Покупатели"
"Customers Tagged '%s'","Отмечено клиентами как '%s'"
"Delete","Удалить"
"Delete Tag","Удалить метку"
"Disabled","Отключено"
"Edit Tag '%s'","Изменить метку '%s'"
"Email","Электронная почта"
"First Name","Имя"
"General Information","Общая информация"
"Grid","Сетка"
"ID","Идентификатор"
"Last Name","Фамилия"
"List","Список"
"My Recent Tags","Мои последние метки"
"My Tags","Мои метки"
"Name","Название"
"New Tag","Новая метка"
"No matches found.","Совпадений не найдено."
"Other people marked this product with these tags:","Другие пользователи отметили этот товар следующими метками:"
"Pending","В очереди"
"Pending Tags","Метки, ожидающие проверки"
"Popular","Популярный"
"Popular Tags","Популярные метки"
"Price","Цена"
"Product Name","Название товара"
"Product SKU","Артикул товара"
"Product Tags","Метки товара"
"Products","Товары"
"Products Tagged with '%s'","Товары, помеченные '%s'"
"Products tagged with '%s'","Товары, помеченные '%s'"
"Remove","Удалить"
"SKU","Артикул"
"Save Tag","Сохранить метку"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Status","Статус"
"Store View","Представление магазина"
"Tag","Метка"
"Tag Name","Название метки"
"Tags","Метки"
"Tags:","Метки:"
"Telephone","Телефон"
"Unable to find any products tagged with '%s' in the current store","В этом магазине нет товаров, помеченных '%s'"
"Unable to remove tag. Please, try again later.","Невозможно удалить метку. Пожалуйста, повторите попытку позже."
"Update","Обновить"
"Use spaces to separate tags. Use single quotes (') for phrases.","Используйте пробелы для отделения меток. Используйте одинарные кавычки (') для фраз."
"View All Tags","Просмотреть все метки"
"View Customers","Просмотреть клиентов"
"View Products","Просмотреть товары"
"You have not tagged any products yet.","Вы еще не отметили ни одного товара."
"ZIP/Post Code","Почтовый индекс"
"[STORE VIEW]","[Представление магазина]"
