"* Required Fields","* Обязательные поля"
"Add New Address","Добавить новый адрес"
"Add New Condition","Добавить новое условие"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить в сравнение"
"Add to Wishlist","Добавить в Список желаний"
"Address","Адрес"
"Address %s of %s","Адрес %s из %s"
"Allow Guest Checkout","Разрешить гостям оформление заказов"
"Already registered?","Уже зарегистрированы?"
"An error occurred in the process of payment","Во время процесса оплаты произошла ошибка"
"Apply","Применить"
"Apply Coupon","Применить купон"
"Are you sure you would like to remove this item from the shopping cart?","Вы действительно хотите удалить этот товар из корзины?"
"Back","Назад"
"Back to Shipping Information","Вернуться к информации о доставке"
"Based on your selection, you may be interested in the following items:","Вы можете быть заинтересованы в следующих товарах:"
"Billing Address","Адрес для выставления счета"
"Billing Information","Информация о плательщике"
"Billing Information - %s","Информация о плательщике - %s"
"Cancel","Отмена"
"Cancel Coupon","Отменить купон"
"Cannot process the item.","Не удается обработать элемент."
"Card Verification Number Visual Reference","Визуальная ссылка на верификации номер карты"
"Cart Subtotal:","Итого в корзине:"
"Change","Изменить"
"Change Billing Address","Изменить платежный адрес"
"Checkout","Оформить заказ"
"Checkout Conditions","Условия оформления заказа"
"Checkout Options","Параметры оформления заказа"
"Checkout Terms and Conditions","Соглашение о заказе"
"Checkout as Guest","Оформить заказ как Гость"
"Checkout as a Guest or Register","Оформить заказ как Гость или Зарегистрироваться"
"Checkout with Multiple Addresses","Оформить заказ используя несколько адресов"
"City","Город"
"Clear Shopping Cart","Очистить корзину"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Нажмите <a href=""%s"" onclick=""this.target='_blank'"">здесь</a>, чтобы распечатать информацию по Вашему заказу"
"Close","Закрыть"
"Company","Компания"
"Condition Name","Название условия"
"Configurable Product Image","Kонфигурируемый Товар Образ"
"Confirm Password","Подтверждение пароля"
"Content","Контент"
"Content Height","Высота содержимого"
"Content Height (css)","Высота содержимого (CSS)"
"Continue","Продолжить"
"Continue Shopping","Продолжить покупки"
"Continue to Billing Information","Перейти к платёжной информации"
"Continue to Review Your Order","Перейти к просмотру Вашего заказа"
"Continue to Shipping Information","Перейти к информации о доставке"
"Country","Страна"
"Coupon code ""%s"" is not valid.","Неверный код купона ""%s""."
"Create Billing Address","Создать адрес плательщика"
"Create Shipping Address","Создать адрес доставки"
"Customer Address is not valid.","Неверный адрес клиента."
"Customer Information","Информация клиента"
"Data saving problem","Проблема сохранения данных"
"Default Billing","Метод оплаты по умолчанию"
"Default Shipping","Доставка по умолчанию"
"Delete Condition","Удалить условие"
"Details","Подробнее"
"Disabled","Отключено"
"Discount Codes","Коды скидок"
"Display Cart Summary","Отображение резюме корзины"
"Display Shopping Cart Sidebar","Отображать боковую панель корзины покупок"
"Display item quantities","Показ количество товаров"
"Display number of items in cart","Показать количество товаров в корзине"
"Easy access to your order history and status","Удобный доступ к истории и статусам ваших заказов"
"Edit","Редактировать"
"Edit Address","Изменить адрес"
"Edit Billing Address","Изменить адрес плательщика"
"Edit Condition","Изменить условие"
"Edit Items","Изменить товары"
"Edit Shipping Address","Изменить адрес доставки"
"Edit Terms and Conditions","Редактировать Условия и Соглашения"
"Edit Your Cart","Редактировать корзину"
"Edit item parameters","Изменить параметры позиции"
"Email Address","Адрес электронной почты"
"Enabled","Включено"
"Enter a New Address","Введите новый адрес"
"Enter your coupon code if you have one.","Введите код купона, если он у вас есть."
