"Active","Активный"
"Add Attribute Mapping","Добавить привязку атрибутов"
"Add New Attribute","Добавить новый атрибут"
"Add to Google Base","Добавить в Google Base"
"Are you sure?","Вы уверены?"
"Attribute","Атрибут"
"Attribute Set","Набор атрибутов"
"Attribute Set and Item Type","Набор атрибутов и тип элемента"
"Attributes","Атрибуты"
"Attributes Set","Набор атрибутов"
"Available Products","Доступные товары"
"Cannot update Google Base Item for Store '%s'","Невозможно обновить элемент Google Base для магазина '%s'"
"Captcha confirmation error: %s","Код подтверждения введен неверно: %s"
"Catalog","Каталог"
"Clicks","Переходов"
"ClientLogin","Вход клиента"
"Confirm","Подтвердить"
"Current Mapping will be reloaded. Continue?","Текущая привязка будет перезаписана. Продолжить?"
"Custom attribute, no mapping","Нестандартный атрибут, нет привязки"
"Delete","Удалить"
"Delete Mapping","Удалить привязку"
"Edit Item Type","Изменить тип элемента"
"Edit Item Type ""%s""","Изменить тип элемента ""%s"""
"Error: %s","Ошибка: %s"
"Expires","Истекает"
"Google Base Attribute","Атрибут Google Base"
"Google Base ID","ИД Google Base"
"Google Base Item Type","Тип элемента Google Base"
"Google Base Item type","Тип элемента Google Base"
"Google Base Items","Google Base элементы"
"Hide","Скрыть"
"Impr.","Улучш."
"Invalid Product Model for Google Base Item","Неверная модель товара для элемента Google Base"
"Item Type was deleted","Тип элемента был удалён"
"Item Types","Типы элемента"
"Items","Позиции"
"Manage Attribute Mapping","Управление привязкой атрибутов"
"Manage Attributes","Управление атрибутами"
"Manage Items","Управление элементами"
"New Item Type","Новый тип предмета "
"No","Нет"
"No items were deleted from Google Base","Нет товаров, удалённых из Google Base"
"No items were published","Нет опубликованных товаров"
"No products were added to Google Base","Нет товаров, добавленных в Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Выберите «Набор атрибутов» и «Тип элемента Google» для загрузки атрибутов"
"Product Name","Название товара"
"Publish","Опубликовать"
"Published","Опубликовано"
"Remove","Удалить"
"Save Mapping","Сохранить привязку"
"Synchronize","Синхронизация"
"Target Country","Целевая страна"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Это действие обновит статистику элементов и удалит элементы, которые больше недоступны в Google Base. Продолжить?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Невозможно соединиться с Google Base. Проверьте настройки учётной записи в конфигурации."
"View Available Products","Посмотреть доступные товары"
"View Item in Google Base","Смотреть товары в Google Base"
"Yes","Да"
