"Action","Действие"
"Are you sure you want to delete the selected backup(s)?","Вы уверены, что хотите удалить выбранный backup(s)?"
"Backups","Резервные копии"
"Create Backup","Создать резервную копию"
"Database","База данных"
"Database Backup","Резервное копирование БД"
"Database and Media","БД и файлы Media"
"Database and Media Backup","Резервное копирование БД и файлов Media"
"Database was successfuly backed up.","Резервная копия базы данных успешно создана."
"Download","Скачать"
"Enable Scheduled Backup","Включение резервного копирования по расписанию"
"Frequency","Периодичность"
"Maintenance Mode","Режим обслуживания"
"Name","Название"
"Rollback","Откат"
"Start Time","Время начала"
"System","Система"
"System (excluding Media)","Система (за исключением Media)"
"System Backup","Резервное копирование системы"
"Time","Время"
"Type","Тип"
"Unable to create backup. Please, try again later.","Невозможно создать резервную копию. Пожалуйста, повторите попытку позже."
