"Add Minimum Qty","Добавьте минимальное кол-во"
"Allow Qty Below 0","Разрешить кол-во ниже 0"
"Allow Qty Below 0 and Notify Customer","Разрешить количество ниже 0 и уведомить клиента"
"Backorders","Предзаказы"
"By Fixed value","По фиксированному значению"
"By Percentage","На процент"
"Catalog Inventory","Товары каталога"
"Decrease Stock When Order is Placed","Уменьшать количество товара в момент оформления заказа"
"Enable Qty Increments","Включение Qty с шагом"
"In Stock","В наличии"
"Inventory","Запасы"
"Inventory API","API склада"
"Inventory Section","Секция Инвентаризации"
"Manage Stock","Управление наличием"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во в корзину"
"Minimum Qty","Минимальное кол-во"
"Minimum Qty Allowed in Shopping Cart","Минимальное Кол-во в корзину"
"No Backorders","Нет предзаказов"
"Notify for Quantity Below","Уведомления для количества ниже"
"Out of Stock","Нет в наличии"
"Product Name","Название товара"
"Product Stock Options","Параметры наличия товара"
"Qty","Кол-во"
"Qty Increments","Qty с шагом"
"Retrieve stock data","Получить данные наличия"
"Retrieve stock data by product ids","Получить данные наличия по ИД товара"
"Rule price","Правило цены"
"Set Items' Status to be In Stock When Order is Cancelled","Менять статус товара на ""есть в наличии"" после отмены заказа"
"Stock Options","Варианты Запаса"
"Stock Status","Статус наличия"
"The maximum quantity allowed for purchase is %s.","Максимальное количество, разрешённое для приобретения: %s."
"The minimum quantity allowed for purchase is %s.","Минимальное количество, разрешённое для приобретения: %s."
"The requested quantity for ""%s"" is not available.","Запрашиваемое количество для товара ""%s"" недоступно."
"This product is currently out of stock.","Данного товара в настоящее время нет в наличии."
"To Fixed Value","К фиксированному значению"
"To Percentage","К процентному значению"
"Update","Обновить"
"Update product stock data","Обновить данные о наличии товара"
"Update the Product","Обновление товара"
