"Actions","Действия"
"Are you sure?","Вы уверены?"
"Date Added","Добавлено"
"Last Update","Последнее обновление"
"Mark as Read","Пометить как прочитанное"
"Mark as read","Пометить как прочитанное"
"Message","Сообщение"
"Messages Inbox","Входящие сообщения"
"Notifications","Уведомления"
"Please select messages.","Пожалуйста, выберите сообщения."
"Read Details","Подробнее"
"Remove","Удалить"
"Severity","Серьезность"
"Show List","Показать список"
"Show Toolbar","Показать панель инструментов"
"The message has been removed.","Сообщение было удалено."
"Update Frequency","Частота обновления"
"Use HTTPS to Get Feed","Использовать HTTPS для Feed-потока"
"Wrong message type","Неправильный тип сообщения"
"critical","критично"
"major","важно"
"minor","обычно"
"notice","уведомление"
