" for more information or "," для большей информации или "
"# of Items (and above)","# товаров (и более)"
"# of Items vs. Destination","# товаров для назначения"
"Calculate Handling Fee","Рассчитать стоимость упаковки"
"Carrier:","Перевозчик:"
"City","Город"
"Close Window","Закрыть окно"
"Condition","Условие"
"Country","Страна"
"Custom Value","Пользовательское значение"
"Date","Дата"
"Delivered on:","Поставлено:"
"Delivered to:","Поставлено к:"
"Description","Описание"
"Displayed Error Message","Отображенное сообщение об ошибке"
"Enabled","Включено"
"Error:","Ошибка:"
"Export","Экспорт"
"Fixed","Исправлено"
"Flat Rate","Фиксированная ставка"
"Free Shipping","Бесплатная доставка"
"Handling Fee","Цена удержания"
"Import","Импорт"
"Info:","Информация:"
"Invalid Table Rate code for type %s: %s","Неправильный код ставки для типа %s: %s"
"Invalid Table Rate code type: %s","Неправильный код ставки: %s"
"Invalid Table Rates File Format","Неправильная формат файла таблицы ставок"
"Local Time","Местное время"
"Location","Место нахождения"
"Minimum Order Amount","Минимальная сумма заказа"
"N/A","Н/Д"
"None","Нет"
"Options","Параметры"
"Order Subtotal (and above)","Предварительный итог заказа"
"Origin","Происхождение"
"Per Order","За заказ"
"Per Package","на упаковку"
"Percent","Процент"
"Price","Цена"
"Price vs. Destination","Цена vs Пункт назначения"
"Region/State","Область"
"Service Type:","Тип обслуживания:"
"Shipment #","Доставка #"
"Shipped or billed on:","Отгружено ли оплачено в:"
"Shipping Methods","Метод доставки"
"Shipping Settings","Настройки доставки"
"Signed by:","Подписано:"
"Sort Order","Порядок Сортировки"
"Status:","Статус:"
"Store Pickup","Самовывоз"
"Street Address","Адрес улицы"
"Street Address Line 2","Адрес улицы 2"
"There is no tracking available for this shipment.","Для этой отгрузки отслеживание недоступно."
"There is no tracking available.","Отслеживание недоступно."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Метод доставки в настоящее время недоступен, Если вы хотите его использовать, свяжитесь с нами"
"Title","Заголовок"
"Track:","Отслеживание:"
"Tracking Information","Отслеживание информации"
"Tracking Number:","Номер отслеживания:"
"Tracking information is currently not available. Please ","Информация об отслеживании в настоящий момент недоступна. Пожалуйста"
"Tracking information is currently unavailable.","Информация об отслеживании в настоящий момент недоступна."
"Type","Тип"
"Weight (and above)","Вес (и выше)"
"Weight vs. Destination","Вес vs Место назначения"
"Weight:","Вес:"
"ZIP/Postal Code","Почтовый индекс"
"contact us","свяжитесь с нами"
