"Access Key","Ключ доступа"
"Authorize Only","Авторизировать только"
"Authorize and Capture","Авторизировать и записать"
"Continue Shopping","Продолжить покупки"
"Debug","Отладка"
"Email Sender","Отправитель электронной почты"
"Enable","Включить"
"Merchant ID","ID продавца"
"Merchant Login","Логин продавца"
"New Order Status","Статус нового заказа"
"Payment Action","Тип платежа"
"Sandbox","Песочница (Sandbox)"
"Secret Key","Секретный ключ"
"Thank you for your purchase!","Спасибо за покупку!"
"Title","Заголовок"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо на ваш адрес электронной почты (email) с подробной информацией о заказе и ссылкой на страницу, на которой можно проверить текущий статус заказа."
