"Add Option","Добавить параметр"
"Attempt to add an invalid object","Попытка добавить неправильный объект"
"Attribute Code","Код атрибута"
"Attribute Label","Метка атрибута"
"Attribute Properties","Свойства атрибута"
"Attribute object is undefined","Объект атрибута не определен"
"Attribute with the same code","Атрибут с таким же кодом"
"Catalog Input Type for Store Owner","Входной тип каталога для владелец магазина"
"Data integrity: No header row found for attribute","Целостность данных: не найдена строка заголовка для атрибута"
"Date","Дата"
"Decimal Number","Десятичное число"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Сортировка по умолчанию не приминима для данного продукта, сортировать по."
"Default Value","Значение по умолчанию"
"Default option value is not defined","Значение варианта по умолчанию не определено"
"Delete","Удалить"
"Dropdown","Выпадающий список"
"Email","Электронная почта"
"Entity is not initialized","Сущность не инициализируется"
"Frontend label is not defined","Заголовок для пользовательской части сайта не было определено"
"Input Validation for Store Owner","Проверка ввода для владельца магазина"
"Integer Number","Целое число"
"Invalid attribute name: %s","Неверное название атрибута: %s"
"Invalid attribute requested: %s","Запрошен неверный атрибут: %s"
"Invalid attribute type","Неверный тип атрибута"
"Invalid character encountered in increment ID: %s","Неверный символ в увеличивающемся ИД: %s"
"Invalid date","Неверная дата"
"Invalid entity specified","Указана неправильная сущность"
"Invalid entity supplied: %s","Поставлена неправильная сущность: %s"
"Invalid entity type","Неправильный тип сущности"
"Invalid entity_type specified: %s","Указан неправильный entity_type: %s"
"Invalid foreign key","Неправильный внешний ключ"
"Invalid store specified","Указан неправильный магазин"
"Joined field with this alias is already declared","Присоединяемое поле для этого псевдонима (alias) уже объявлено"
"Letters","Письма"
"Letters (a-z, A-Z) or Numbers (0-9)","Буквы (a-z, A-Z) или цифры (0-9)"
"Loaded %d records","Загружено записей %d "
"Multiple Select","Множественный выбор"
"No","Нет"
"No options found in config node %s","Не найдены параметры в конфигурации узла %s"
"None","Нет"
"Not shared with other products","Не разделять с другими товарами"
"Problem loading the collection, aborting. Error: %s","Проблема загрузки коллекции. Ошибка: %s"
"Problem saving the collection, aborting. Error: %s","Проблема при сохранении коллекции, отменено. Ошибка: %s"
"Required","Необходимо"
"System","Система"
"Text Area","Текстовая область"
"Text Field","Текстовое поле"
"Unique Value","Уникальное значение"
"Unique Value (not shared with other products)","Уникальное значение (не совместно с другими товарами)"
"Unknown parameter","Неизвестный параметр"
"Values Required","Требуются значения"
"Wrong attribute group ID","Неправильный ИД группы атрибута"
"Wrong attribute set ID","Неправильный ИД набора атрибутов"
"Wrong entity ID","Неправильный ИД сущности"
"Yes","Да"
"Yes/No","Да/Нет"
