"Alert Email Sender","Отправитель оповестительного письма"
"Click here not to receive alerts for this product","Нажмите сюда, чтобы не получать оповещений о данном товаре"
"Error Email Recipient","Получатель письма об ошибке"
"Error Email Sender","Отправитель письма об ошибке"
"Error Email Template","Шаблон письма об ошибке"
"Frequency","Периодичность"
"Price:","Цена:"
"Product Alerts","Оповещения о продукте"
"Product Alerts Run Settings","Настройка запуска оповещений товара"
"Product alerts Cron error","Оповещения для товаров. Ошибка cron"
"Product price alert","Оповещение об изменениях цены на товар"
"Product stock alert","Оповещение о количестве товара"
"Regular Price:","Обычная цена:"
"Sign up for price alert","Подписаться на оповещения о цене"
"Sign up to get notified when this product is back in stock","Подпишитесь, чтобы получить уведомление, когда товар появится в наличии"
"Special price:","Особое предложение:"
"Start Time","Время начала"
"Unsubscribe from all price alerts","Отказаться от всех ценовых оповещений"
"Unsubscribe from all stock alerts","Отказаться от всех оповещений о появлении в наличии"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Вы получили это сообщение, так как подписались на получение уведомлений при появлении в наличии следующих товаров:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Вы получили это сообщение, так как. подписались на получение уведомлений при изменении цен на следующие товары:"
