"* Required Fields","* Обязательные поля"
"Address","Адрес"
"Address Information","Информация об адресе"
"Already registered?","Уже зарегистрированы?"
"Back","Назад"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Создав учётную запись на нашем сайте, вы будете тратить меньше времени на оформление заказа, сможете хранить несколько адресов доставки, отслеживать состояние заказов, а также многое другое."
"Checkout as Guest","Оформить заказ как Гость"
"Checkout as a Guest or Register","Оформить заказ как Гость или Зарегистрироваться"
"City","Город"
"Close","Закрыть"
"Company","Компания"
"Confirm Password","Подтверждение пароля"
"Continue","Продолжить"
"Country","Страна"
"Create an Account","Создание учетной записи"
"Easy access to your order history and status","Удобный доступ к истории и статусам ваших заказов"
"Email Address","Адрес электронной почты"
"Fast and easy check out","Быстрое оформление заказа"
"Fax","Факс"
"Forgot Your Password?","Забыли Ваш пароль?"
"Forgot your password?","Забыли Ваш пароль?"
"General Options","Общие параметры"
"If you have an account with us, please log in.","Если у вас есть учётная запись на нашем сайте, пожалуйста, авторизируйтесь."
"Loading next step...","Идёт загрузка следующего шага..."
"Login","Логин"
"Login Information","Информация для авторизации"
"Login or Create an Account","Страница авторизации"
"New Customers","Новый клиент"
"Password","Пароль"
"Persistence Lifetime (seconds)","Время жизни (секунд)"
"Personal Information","Персональные данные"
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Пожалуйста, выберите область"
"Register","Зарегистрируйтесь"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учётной записи"
"Register with us for future convenience:","Зарегистрируйтесь на сайте для удобства у будущем:"
"Registered Customers","Зарегистрированные клиенты"
"Remember Me","Запомнить меня"
"Save in address book","Сохранить в адресной книге"
"Select State/Province...","Выберите Штат/провинцию..."
"Select a billing address from your address book or enter a new address.","Выберите адрес, который будет использоваться при создании счёта, из вашей адресной книги или введите новый адрес."
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить на этот адрес"
"Sign Up for Newsletter","Подписаться на новости"
"State/Province","Область"
"Street Address","Адрес улицы"
"Submit","Отправить"
"Telephone","Телефон"
"VAT Number","Номер НДС"
"Welcome, %s!","Добро пожаловать, %s!"
"What's this?","Что это?"
"Zip/Postal Code","Почтовый индекс"
